,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
fixed acidity,-0.238799,0.336355,0.434301,-0.164346,-0.14748,0.204554,-0.283079,-0.401236,-0.344057,0.281268,-0.334679
volatile acidity,-0.380757,0.11755,-0.307259,-0.212785,0.151456,0.492143,-0.38916,0.087435,0.496933,-0.152177,-0.084772
citric acid,0.152388,0.183299,0.59057,0.2643,-0.155349,-0.227634,-0.381285,0.293412,0.402689,-0.234463,0.001109
residual sugar,0.34592,0.329914,-0.164688,-0.167443,-0.353362,0.233478,0.217976,0.524873,-0.108003,0.001373,-0.449765
chlorides,-0.290113,0.315258,-0.016679,0.244744,0.614391,-0.160976,-0.046068,0.471517,-0.296444,0.19663,-0.043438
free sulfur dioxide,0.430914,0.071933,-0.134224,0.357279,0.223532,0.340051,-0.299363,-0.207808,-0.366656,-0.480243,0.000213
total sulfur dioxide,0.487418,0.087266,-0.107462,0.20842,0.158134,0.151277,-0.13891,-0.128621,0.320696,0.713663,0.062685
density,-0.044937,0.584037,-0.175606,-0.072725,-0.306561,-0.018743,-0.046759,-0.004831,-0.11288,0.003908,0.715162
pH,-0.218686,-0.155869,-0.455324,0.414551,-0.453376,-0.296579,-0.418907,0.028643,-0.127837,0.141311,-0.206361
sulphates,-0.294135,0.191716,0.070042,0.640536,-0.136577,0.296926,0.525343,-0.165818,0.207764,-0.045959,-0.077202
alcohol,-0.106437,-0.465058,0.261101,0.106803,-0.188892,0.518378,-0.104103,0.399234,-0.25189,0.205053,0.335702
