,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
fixed acidity,1.0,0.200272,0.270568,-0.032254,0.355964,-0.259914,-0.233259,0.434056,-0.250044,0.220145,-0.11065
volatile acidity,0.200272,1.0,-0.295129,-0.064384,0.415896,-0.365673,-0.343534,0.261437,0.194876,0.255042,-0.023924
citric acid,0.270568,-0.295129,1.0,0.07492,-0.074084,0.122058,0.159355,0.06569,-0.285905,0.036898,0.019653
residual sugar,-0.032254,-0.064384,0.07492,1.0,-0.0358,0.38775,0.454886,0.526664,-0.229344,-0.138157,-0.329218
chlorides,0.355964,0.415896,-0.074084,-0.0358,1.0,-0.260421,-0.268434,0.590729,0.163528,0.37045,-0.40127
free sulfur dioxide,-0.259914,-0.365673,0.122058,0.38775,-0.260421,1.0,0.741438,0.005841,-0.164699,-0.221062,-0.186046
total sulfur dioxide,-0.233259,-0.343534,0.159355,0.454886,-0.268434,0.741438,1.0,0.06154,-0.242719,-0.256745,-0.308982
density,0.434056,0.261437,0.06569,0.526664,0.590729,0.005841,0.06154,1.0,0.011777,0.274792,-0.699442
pH,-0.250044,0.194876,-0.285905,-0.229344,0.163528,-0.164699,-0.242719,0.011777,1.0,0.254263,0.140225
sulphates,0.220145,0.255042,0.036898,-0.138157,0.37045,-0.221062,-0.256745,0.274792,0.254263,1.0,0.004583
alcohol,-0.11065,-0.023924,0.019653,-0.329218,-0.40127,-0.186046,-0.308982,-0.699442,0.140225,0.004583,1.0
