epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.053961969912052155,0.05407010018825531,positive_share
49,0,1,fac,216,0.5669370293617249,0.568073034286499,positive_share
49,0,1,kar,64,0.20788665115833282,0.20830321311950684,positive_share
49,0,1,zer,47,0.1281394511461258,0.12839621305465698,positive_share
49,0,1,mor,6,0.04107514023780823,0.041157446801662445,positive_share
69,1,2,fou,76,0.0657658576965332,0.07245075702667236,positive_share
69,1,2,fac,216,0.5433264970779419,0.5985539555549622,positive_share
69,1,2,kar,64,0.18858352303504944,0.20775246620178223,positive_share
69,1,2,zer,47,0.11005598306655884,0.12124283611774445,positive_share
69,1,2,mor,6,-0.006104280240833759,0.0,positive_share
89,2,3,fou,76,0.053347162902355194,0.05966174602508545,positive_share
89,2,3,fac,216,0.5282790660858154,0.590810239315033,positive_share
89,2,3,kar,64,0.18845169246196747,0.2107582986354828,positive_share
89,2,3,zer,47,0.12408234924077988,0.1387697011232376,positive_share
89,2,3,mor,6,-0.00417740223929286,0.0,positive_share
109,3,4,fou,76,0.04929197207093239,0.055745452642440796,positive_share
109,3,4,fac,216,0.5252559781074524,0.5940243601799011,positive_share
109,3,4,kar,64,0.1785879135131836,0.20196928083896637,positive_share
109,3,4,zer,47,0.12194500863552094,0.13791048526763916,positive_share
109,3,4,mor,6,0.009152153506875038,0.010350385680794716,positive_share
129,4,5,fou,76,0.036498866975307465,0.043700799345970154,positive_share
129,4,5,fac,216,0.5076398253440857,0.6078069806098938,positive_share
129,4,5,kar,64,0.17262771725654602,0.20669050514698029,positive_share
129,4,5,zer,47,0.10944587737321854,0.13104166090488434,positive_share
129,4,5,mor,6,0.008986763656139374,0.010760026052594185,positive_share
169,5,6,fou,76,0.03597492724657059,0.043863870203495026,positive_share
169,5,6,fac,216,0.5147360563278198,0.6276125311851501,positive_share
169,5,6,kar,64,0.1681119203567505,0.20497718453407288,positive_share
169,5,6,zer,47,0.1010628342628479,0.1232249066233635,positive_share
169,5,6,mor,6,0.00026368058752268553,0.000321503117447719,positive_share
