epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.10063236951828003,0.0621669702231884,positive_share
49,0,1,fac,216,0.9568014144897461,0.591076672077179,positive_share
49,0,1,kar,64,0.22354307770729065,0.1380966752767563,positive_share
49,0,1,zer,47,0.2297508418560028,0.14193160831928253,positive_share
49,0,1,mor,6,0.10801563411951065,0.06672807782888412,positive_share
69,1,2,fou,76,0.12116037309169769,0.0733807161450386,positive_share
69,1,2,fac,216,0.980941653251648,0.5941067934036255,positive_share
69,1,2,kar,64,0.2371230274438858,0.14361344277858734,positive_share
69,1,2,zer,47,0.18652233481407166,0.11296715587377548,positive_share
69,1,2,mor,6,0.12537260353565216,0.0759318545460701,positive_share
89,2,3,fou,76,0.13208156824111938,0.08043474704027176,positive_share
89,2,3,fac,216,0.9519525170326233,0.5797179937362671,positive_share
89,2,3,kar,64,0.2399495244026184,0.1461239457130432,positive_share
89,2,3,zer,47,0.19538967311382294,0.11898797750473022,positive_share
89,2,3,mor,6,0.12272267788648605,0.07473538815975189,positive_share
109,3,4,fou,76,0.15446363389492035,0.09016727656126022,positive_share
109,3,4,fac,216,1.0342090129852295,0.6037136912345886,positive_share
109,3,4,kar,64,0.23616570234298706,0.13786040246486664,positive_share
109,3,4,zer,47,0.17905934154987335,0.1045248806476593,positive_share
109,3,4,mor,6,0.109180748462677,0.06373364478349686,positive_share
129,4,5,fou,76,0.12695616483688354,0.07320769876241684,positive_share
129,4,5,fac,216,1.0702866315841675,0.6171675324440002,positive_share
129,4,5,kar,64,0.233915314078331,0.13488437235355377,positive_share
129,4,5,zer,47,0.1960570514202118,0.11305387318134308,positive_share
129,4,5,mor,6,0.10697619616985321,0.061686497181653976,positive_share
169,5,6,fou,76,0.12180963158607483,0.06716682016849518,positive_share
169,5,6,fac,216,1.1338050365447998,0.6251893043518066,positive_share
169,5,6,kar,64,0.24349121749401093,0.1342630386352539,positive_share
169,5,6,zer,47,0.21409596502780914,0.11805424839258194,positive_share
169,5,6,mor,6,0.10033699870109558,0.05532663315534592,positive_share
