epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.07407018542289734,0.07411354035139084,positive_share
49,0,1,fac,216,0.5734189748764038,0.573754608631134,positive_share
49,0,1,kar,64,0.1928505003452301,0.1929633766412735,positive_share
49,0,1,zer,47,0.13254287838935852,0.1326204538345337,positive_share
49,0,1,mor,6,0.026532530784606934,0.026548059657216072,positive_share
69,1,2,fou,76,0.05891187861561775,0.06515009701251984,positive_share
69,1,2,fac,216,0.5191169381141663,0.574086606502533,positive_share
69,1,2,kar,64,0.18206655979156494,0.20134571194648743,positive_share
69,1,2,zer,47,0.13388147950172424,0.14805828034877777,positive_share
69,1,2,mor,6,0.010271579027175903,0.011359243653714657,positive_share
89,2,3,fou,76,0.04134935140609741,0.04796099662780762,positive_share
89,2,3,fac,216,0.5061215162277222,0.5870489478111267,positive_share
89,2,3,kar,64,0.18274414539337158,0.2119644284248352,positive_share
89,2,3,zer,47,0.1181340292096138,0.13702332973480225,positive_share
89,2,3,mor,6,0.013796312734484673,0.01600230485200882,positive_share
109,3,4,fou,76,0.04883961006999016,0.05608444660902023,positive_share
109,3,4,fac,216,0.5140846967697144,0.5903436541557312,positive_share
109,3,4,kar,64,0.17986330389976501,0.20654410123825073,positive_share
109,3,4,zer,47,0.1209607943892479,0.13890403509140015,positive_share
109,3,4,mor,6,0.007074353750795126,0.008123759180307388,positive_share
129,4,5,fou,76,0.0361250638961792,0.04353064298629761,positive_share
129,4,5,fac,216,0.5075471997261047,0.6115935444831848,positive_share
129,4,5,kar,64,0.16651050746440887,0.20064488053321838,positive_share
129,4,5,zer,47,0.1134730875492096,0.13673488795757294,positive_share
129,4,5,mor,6,0.006220727227628231,0.00749596580862999,positive_share
169,5,6,fou,76,0.039685264229774475,0.04697001725435257,positive_share
169,5,6,fac,216,0.5166810154914856,0.6115246415138245,positive_share
169,5,6,kar,64,0.16995275020599365,0.2011498063802719,positive_share
169,5,6,zer,47,0.110286183655262,0.13053067028522491,positive_share
169,5,6,mor,6,0.008301111869513988,0.009824889712035656,positive_share
