epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.09969176352024078,0.06646565347909927,positive_share
49,0,1,fac,216,0.9100509285926819,0.6067414879798889,positive_share
49,0,1,kar,64,0.22460775077342987,0.14974859356880188,positive_share
49,0,1,zer,47,0.17537382245063782,0.11692376434803009,positive_share
49,0,1,mor,6,0.09017468988895416,0.060120511800050735,positive_share
69,1,2,fou,76,0.12836244702339172,0.07948439568281174,positive_share
69,1,2,fac,216,0.9518886208534241,0.5894269943237305,positive_share
69,1,2,kar,64,0.24126538634300232,0.14939597249031067,positive_share
69,1,2,zer,47,0.1587226241827011,0.09828397631645203,positive_share
69,1,2,mor,6,0.13469983637332916,0.08340862393379211,positive_share
89,2,3,fou,76,0.12477301061153412,0.07621408253908157,positive_share
89,2,3,fac,216,0.9681094884872437,0.5913424491882324,positive_share
89,2,3,kar,64,0.24824534356594086,0.15163367986679077,positive_share
89,2,3,zer,47,0.1746833473443985,0.10670041292905807,positive_share
89,2,3,mor,6,0.12132727354764938,0.07410935312509537,positive_share
109,3,4,fou,76,0.12867531180381775,0.07545556873083115,positive_share
109,3,4,fac,216,1.0393882989883423,0.6095002889633179,positive_share
109,3,4,kar,64,0.23760554194450378,0.139332577586174,positive_share
109,3,4,zer,47,0.17648395895957947,0.10349070280790329,positive_share
109,3,4,mor,6,0.12315904349088669,0.0722208172082901,positive_share
129,4,5,fou,76,0.1535482406616211,0.08248155564069748,positive_share
129,4,5,fac,216,1.1051838397979736,0.5936719179153442,positive_share
129,4,5,kar,64,0.26665908098220825,0.14324133098125458,positive_share
129,4,5,zer,47,0.20154638588428497,0.1082647293806076,positive_share
129,4,5,mor,6,0.1346694380044937,0.07234042137861252,positive_share
169,5,6,fou,76,0.12388637661933899,0.06630749255418777,positive_share
169,5,6,fac,216,1.1607062816619873,0.6212428212165833,positive_share
169,5,6,kar,64,0.2651587426662445,0.14192046225070953,positive_share
169,5,6,zer,47,0.19283516705036163,0.10321083664894104,positive_share
169,5,6,mor,6,0.12577496469020844,0.06731832027435303,positive_share
