node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-0.9782615900039673,1.1963415145874023,0.23934578895568848,32.0,0.0,1.0,0.16693393886089325,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.0574121475219727,1.4122780561447144,0.29415762424468994,32.0,0.0,1.0,0.07458213716745377,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.391281396150589,0.18588745594024658,0.03278632462024689,32.0,0.0,1.0,0.025565674528479576,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.31833574175834656,0.13716477155685425,0.03582713007926941,32.0,0.0,1.0,0.013839801773428917,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-0.8573747873306274,1.0340055227279663,0.29891401529312134,32.0,0.0,1.0,0.07517463713884354,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-0.7314310073852539,0.6962321996688843,0.16124087572097778,32.0,0.0,1.0,0.028238920494914055,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.17275580763816833,0.050243157893419266,0.020398588851094246,32.0,0.0,1.0,0.01068840641528368,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.18097442388534546,0.055279843509197235,0.02252810075879097,32.0,0.0,1.0,0.01118156686425209,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-0.7637817859649658,0.7591087818145752,0.1757461428642273,32.0,0.0,1.0,0.05787549540400505,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-0.6959569454193115,0.6571512818336487,0.17279520630836487,32.0,0.0,1.0,0.029197992756962776,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.2483215183019638,0.08418682962656021,0.02252325415611267,32.0,0.0,1.0,0.011180471628904343,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.16738733649253845,0.03467024117708206,0.006651720032095909,32.0,0.0,1.0,0.006532473023980856,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-0.58870530128479,0.45860469341278076,0.11203077435493469,32.0,0.0,1.0,0.023704973980784416,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-0.6193444728851318,0.5849667191505432,0.20137915015220642,32.0,0.0,1.0,0.03144104406237602,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.04813393950462341,0.0055533526465296745,0.0032364765647798777,32.0,0.0,1.0,0.004859122447669506,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.030775953084230423,0.007658513728529215,0.0067113544791936874,32.0,0.0,1.0,0.01211443543434143,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-0.9357360601425171,1.1968717575073242,0.32126981019973755,32.0,0.0,1.0,0.07789839804172516,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-0.9657407402992249,1.1613469123840332,0.22869175672531128,32.0,0.0,1.0,0.0334397554397583,32,0.0,49,0,1
18,01001,2,0.20000000298023224,-0.40190139412879944,0.19563759863376617,0.03411287069320679,32.0,0.0,1.0,0.013528858311474323,32,0.0,49,0,1
19,11001,3,0.20000000298023224,-0.3206897974014282,0.13413211703300476,0.03129017353057861,32.0,0.0,1.0,0.012999311089515686,32,0.0,49,0,1
20,00101,2,0.20000000298023224,-0.8217865228652954,0.8446224927902222,0.16928941011428833,32.0,0.0,1.0,0.028910474851727486,32,0.0,49,0,1
21,10101,3,0.20000000298023224,-0.8632360100746155,1.0105599164962769,0.2653834819793701,32.0,0.0,1.0,0.035945337265729904,32,0.0,49,0,1
22,01101,3,0.20000000298023224,-0.22583512961864471,0.08642338961362839,0.035421885550022125,32.0,0.0,1.0,0.013766978867352009,32,0.0,49,0,1
23,11101,4,0.4000000059604645,-0.17797277867794037,0.07160229980945587,0.03992798924446106,32.0,0.0,1.0,0.028109470382332802,32,0.0,49,0,1
24,00011,2,0.20000000298023224,-0.7804715633392334,0.7594547271728516,0.15031886100769043,32.0,0.0,1.0,0.02730019949376583,32,0.0,49,0,1
25,10011,3,0.20000000298023224,-0.7310939431190491,0.6780315637588501,0.14353322982788086,32.0,0.0,1.0,0.0266997292637825,32,0.0,49,0,1
26,01011,3,0.20000000298023224,-0.24033135175704956,0.07310307025909424,0.015343911945819855,32.0,0.0,1.0,0.009402729570865631,32,0.0,49,0,1
27,11011,4,0.4000000059604645,-0.17349214851856232,0.040869954973459244,0.01077042892575264,32.0,0.0,1.0,0.015079876407980919,32,0.0,49,0,1
28,00111,3,0.20000000298023224,-0.5850235223770142,0.45496100187301636,0.11270847916603088,32.0,0.0,1.0,0.023773545399308205,32,0.0,49,0,1
29,10111,4,0.4000000059604645,-0.6043875217437744,0.551784098148346,0.18649983406066895,32.0,0.0,1.0,0.05958973616361618,32,0.0,49,0,1
