node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.0663225650787354,1.3795015811920166,0.24245774745941162,32.0,0.0,1.0,0.17801779508590698,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.0038485527038574,1.2972173690795898,0.2895054817199707,32.0,0.0,1.0,0.07837262749671936,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.39220499992370605,0.1975523978471756,0.04372763633728027,32.0,0.0,1.0,0.031070241704583168,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.3258594870567322,0.14680498838424683,0.040620580315589905,32.0,0.0,1.0,0.015491120517253876,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-0.8147674798965454,0.8956693410873413,0.23182326555252075,32.0,0.0,1.0,0.07023686915636063,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-0.6350486278533936,0.4916256070137024,0.08833885192871094,32.0,0.0,1.0,0.02237001247704029,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.1850305050611496,0.05296451225876808,0.01872822269797325,32.0,0.0,1.0,0.010839594528079033,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.11805625259876251,0.02593991905450821,0.012002640403807163,32.0,0.0,1.0,0.008877117186784744,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-0.8854049444198608,0.975415825843811,0.19147390127182007,32.0,0.0,1.0,0.06392361968755722,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-0.75732421875,0.6820833086967468,0.10854333639144897,32.0,0.0,1.0,0.02468811348080635,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.2705801725387573,0.0930338203907013,0.019820190966129303,32.0,0.0,1.0,0.011122385039925575,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.1790238618850708,0.04135008156299591,0.009300537407398224,32.0,0.0,1.0,0.007933985441923141,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-0.6729385256767273,0.6524823307991028,0.1996360719203949,32.0,0.0,1.0,0.0331253856420517,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-0.48791632056236267,0.36579227447509766,0.12772993743419647,32.0,0.0,1.0,0.026696577668190002,32,0.0,49,0,1
