epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.046639807522296906,0.04563148319721222,positive_share
49,0,1,fac,216,0.5831629037857056,0.5705552697181702,positive_share
49,0,1,kar,64,0.23050686717033386,0.2255234569311142,positive_share
49,0,1,zer,47,0.13042739033699036,0.12760762870311737,positive_share
49,0,1,mor,6,0.031360119581222534,0.03068213351070881,positive_share
69,1,2,fou,76,0.0513315424323082,0.05173046514391899,positive_share
69,1,2,fac,216,0.5739461183547974,0.578406572341919,positive_share
69,1,2,kar,64,0.24435673654079437,0.2462557554244995,positive_share
69,1,2,zer,47,0.12036978453397751,0.12130524218082428,positive_share
69,1,2,mor,6,0.0022841813042759895,0.002301932778209448,positive_share
89,2,3,fou,76,0.06520865857601166,0.06508194655179977,positive_share
89,2,3,fac,216,0.5606473684310913,0.5595579743385315,positive_share
89,2,3,kar,64,0.23779495060443878,0.23733288049697876,positive_share
89,2,3,zer,47,0.11448951810598373,0.11426705121994019,positive_share
89,2,3,mor,6,0.023806387558579445,0.023760128766298294,positive_share
109,3,4,fou,76,0.03880886733531952,0.04292672872543335,positive_share
109,3,4,fac,216,0.5397112369537354,0.596977949142456,positive_share
109,3,4,kar,64,0.2125988006591797,0.23515684902668,positive_share
109,3,4,zer,47,0.0982760339975357,0.10870372503995895,positive_share
109,3,4,mor,6,0.014677443541586399,0.016234811395406723,positive_share
129,4,5,fou,76,0.02403382956981659,0.029139675199985504,positive_share
129,4,5,fac,216,0.5314397215843201,0.6443409323692322,positive_share
129,4,5,kar,64,0.1814832240343094,0.2200382649898529,positive_share
129,4,5,zer,47,0.0878235250711441,0.10648111253976822,positive_share
129,4,5,mor,6,-0.0010745057370513678,0.0,positive_share
169,5,6,fou,76,0.021837720647454262,0.027615057304501534,positive_share
169,5,6,fac,216,0.5170448422431946,0.6538330316543579,positive_share
169,5,6,kar,64,0.16431421041488647,0.20778480172157288,positive_share
169,5,6,zer,47,0.08759355545043945,0.11076710373163223,positive_share
169,5,6,mor,6,-0.011462045833468437,0.0,positive_share
