epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.07513483613729477,0.07923626154661179,positive_share
49,0,1,fac,216,0.5582690238952637,0.5887435674667358,positive_share
49,0,1,kar,64,0.2239689826965332,0.2361948937177658,positive_share
49,0,1,zer,47,0.0861121267080307,0.09081277996301651,positive_share
49,0,1,mor,6,0.004753057844936848,0.005012515466660261,positive_share
69,1,2,fou,76,0.06242156773805618,0.06995344907045364,positive_share
69,1,2,fac,216,0.531059205532074,0.5951375961303711,positive_share
69,1,2,kar,64,0.1795930564403534,0.20126302540302277,positive_share
69,1,2,zer,47,0.10370083153247833,0.11621353030204773,positive_share
69,1,2,mor,6,0.015555418096482754,0.017432358115911484,positive_share
89,2,3,fou,76,0.05424424633383751,0.062501922249794,positive_share
89,2,3,fac,216,0.5253363847732544,0.6053090691566467,positive_share
89,2,3,kar,64,0.17204096913337708,0.19823099672794342,positive_share
89,2,3,zer,47,0.10416442155838013,0.1200215145945549,positive_share
89,2,3,mor,6,0.012095226906239986,0.013936500065028667,positive_share
109,3,4,fou,76,0.05204848200082779,0.0594702772796154,positive_share
109,3,4,fac,216,0.5294045209884644,0.6048943996429443,positive_share
109,3,4,kar,64,0.17131485044956207,0.19574330747127533,positive_share
109,3,4,zer,47,0.10640775412321091,0.12158085405826569,positive_share
109,3,4,mor,6,0.016025980934500694,0.018311187624931335,positive_share
129,4,5,fou,76,0.030855964869260788,0.03980384021997452,positive_share
129,4,5,fac,216,0.5061859488487244,0.6529740691184998,positive_share
129,4,5,kar,64,0.1464381068944931,0.18890346586704254,positive_share
129,4,5,zer,47,0.08608230948448181,0.11104518920183182,positive_share
129,4,5,mor,6,0.005638343282043934,0.007273397874087095,positive_share
169,5,6,fou,76,0.03329499065876007,0.042551230639219284,positive_share
169,5,6,fac,216,0.511236846446991,0.6533643007278442,positive_share
169,5,6,kar,64,0.14763951301574707,0.18868432939052582,positive_share
169,5,6,zer,47,0.08701378107070923,0.11120422184467316,positive_share
169,5,6,mor,6,0.0032831919379532337,0.004195942543447018,positive_share
