epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.10354315489530563,0.0686727836728096,positive_share
49,0,1,fac,216,0.9043038487434387,0.5997601747512817,positive_share
49,0,1,kar,64,0.22215457260608673,0.14733926951885223,positive_share
49,0,1,zer,47,0.1858295053243637,0.12324743717908859,positive_share
49,0,1,mor,6,0.09194467216730118,0.060980334877967834,positive_share
69,1,2,fou,76,0.1220337450504303,0.0719447061419487,positive_share
69,1,2,fac,216,0.9859585762023926,0.5812695622444153,positive_share
69,1,2,kar,64,0.25367894768714905,0.14955583214759827,positive_share
69,1,2,zer,47,0.23447084426879883,0.13823173940181732,positive_share
69,1,2,mor,6,0.10007363557815552,0.05899817496538162,positive_share
89,2,3,fou,76,0.1463775336742401,0.08585604280233383,positive_share
89,2,3,fac,216,0.9831695556640625,0.5766666531562805,positive_share
89,2,3,kar,64,0.2627106308937073,0.15408986806869507,positive_share
89,2,3,zer,47,0.21701034903526306,0.12728489935398102,positive_share
89,2,3,mor,6,0.09565006196498871,0.05610243231058121,positive_share
109,3,4,fou,76,0.14205202460289001,0.07834838330745697,positive_share
109,3,4,fac,216,1.052380084991455,0.580437183380127,positive_share
109,3,4,kar,64,0.2489197701215744,0.13729098439216614,positive_share
109,3,4,zer,47,0.24000568687915802,0.13237445056438446,positive_share
109,3,4,mor,6,0.12972423434257507,0.07154902815818787,positive_share
129,4,5,fou,76,0.1480899155139923,0.08184503763914108,positive_share
129,4,5,fac,216,1.0733022689819336,0.5931832790374756,positive_share
129,4,5,kar,64,0.23688973486423492,0.1309221386909485,positive_share
129,4,5,zer,47,0.22468622028827667,0.12417761236429214,positive_share
129,4,5,mor,6,0.12642580270767212,0.06987190246582031,positive_share
169,5,6,fou,76,0.15398955345153809,0.07985977828502655,positive_share
169,5,6,fac,216,1.1108509302139282,0.5760930776596069,positive_share
169,5,6,kar,64,0.26377373933792114,0.13679443299770355,positive_share
169,5,6,zer,47,0.2606399655342102,0.13516923785209656,positive_share
169,5,6,mor,6,0.13899491727352142,0.0720834881067276,positive_share
