epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.08345247805118561,0.07833500951528549,positive_share
49,0,1,fac,216,0.6030860543251038,0.5661036372184753,positive_share
49,0,1,kar,64,0.2134525328874588,0.20036320388317108,positive_share
49,0,1,zer,47,0.1211041733622551,0.11367782950401306,positive_share
49,0,1,mor,6,0.0442328080534935,0.041520364582538605,positive_share
69,1,2,fou,76,0.05287042260169983,0.055752936750650406,positive_share
69,1,2,fac,216,0.5587341785430908,0.5891965627670288,positive_share
69,1,2,kar,64,0.17657586932182312,0.18620283901691437,positive_share
69,1,2,zer,47,0.13017308712005615,0.13727016746997833,positive_share
69,1,2,mor,6,0.029944855719804764,0.0315774604678154,positive_share
89,2,3,fou,76,0.07170948386192322,0.07983517646789551,positive_share
89,2,3,fac,216,0.5194011926651001,0.5782566666603088,positive_share
89,2,3,kar,64,0.1744924932718277,0.1942649483680725,positive_share
89,2,3,zer,47,0.11358945071697235,0.1264607310295105,positive_share
89,2,3,mor,6,0.019026510417461395,0.021182483062148094,positive_share
109,3,4,fou,76,0.05736163258552551,0.06856133788824081,positive_share
109,3,4,fac,216,0.5088703632354736,0.60822594165802,positive_share
109,3,4,kar,64,0.15761202573776245,0.18838535249233246,positive_share
109,3,4,zer,47,0.1041480004787445,0.12448262423276901,positive_share
109,3,4,mor,6,0.008654912933707237,0.010344761423766613,positive_share
129,4,5,fou,76,0.06220559403300285,0.07458049803972244,positive_share
129,4,5,fac,216,0.49740856885910034,0.5963608026504517,positive_share
129,4,5,kar,64,0.1574975848197937,0.1888294517993927,positive_share
129,4,5,zer,47,0.10559553653001785,0.12660224735736847,positive_share
129,4,5,mor,6,0.011365940794348717,0.01362703088670969,positive_share
169,5,6,fou,76,0.062377091497182846,0.07314859330654144,positive_share
169,5,6,fac,216,0.5050539970397949,0.5922685265541077,positive_share
169,5,6,kar,64,0.16404156386852264,0.19236885011196136,positive_share
169,5,6,zer,47,0.10578508675098419,0.12405243515968323,positive_share
169,5,6,mor,6,0.015487229451537132,0.01816161908209324,positive_share
