feature,mean_diff,std_diff,mae,q05,q50,q95
fou_000,-0.0007261101272888482,0.04801556095480919,0.036546774208545685,-0.06892569363117218,-0.0031440407037734985,0.07629791647195816
fou_001,-0.004979380872100592,0.06824281066656113,0.05181996524333954,-0.11607369780540466,-0.007971979677677155,0.11214995384216309
fou_002,-6.047602801118046e-05,0.07618942111730576,0.05856920778751373,-0.11113021522760391,-0.0019221007823944092,0.14257541298866272
fou_003,-0.00517258420586586,0.08816967904567719,0.06543286144733429,-0.14169098436832428,-0.004598937928676605,0.13481390476226807
fou_004,0.006619864143431187,0.07843737304210663,0.05988389998674393,-0.11657495051622391,0.0071046799421310425,0.12957671284675598
fou_005,-0.003418948967009783,0.05315728113055229,0.038988515734672546,-0.08824176341295242,-0.004621114581823349,0.07565105706453323
fou_006,0.005230112001299858,0.06683521717786789,0.049745749682188034,-0.09916966408491135,0.0012749582529067993,0.12483632564544678
fou_007,0.007949519902467728,0.07108034938573837,0.054312754422426224,-0.09558890759944916,-0.0007876232266426086,0.14727063477039337
fou_008,-0.0020706800278276205,0.07970086485147476,0.060563474893569946,-0.1306213140487671,-0.0028963685035705566,0.1295720338821411
fou_009,0.0005069451290182769,0.05581345781683922,0.04443303123116493,-0.09204623103141785,0.0020027421414852142,0.08263367414474487
fou_010,-0.00255258078686893,0.06170418858528137,0.04812641441822052,-0.1009998545050621,-0.00458170473575592,0.10543866455554962
fou_011,0.0007413172861561179,0.05971531569957733,0.0478854700922966,-0.09179544448852539,-0.0006168782711029053,0.09970173239707947
fou_012,-6.206452962942421e-05,0.06370040029287338,0.05083669722080231,-0.10673540085554123,0.0008134990930557251,0.11046523600816727
fou_013,0.0019443018827587366,0.06386217474937439,0.05110233649611473,-0.1006866991519928,0.002215668559074402,0.10806218534708023
fou_014,0.0034896787256002426,0.05222027003765106,0.04141734912991524,-0.0895279198884964,0.003180854022502899,0.09095785766839981
fou_015,-0.001654225867241621,0.0501030869781971,0.03868450969457626,-0.08671245723962784,0.000629376620054245,0.08077911287546158
fou_016,-0.0035629896447062492,0.054216716438531876,0.04403159022331238,-0.09521904587745667,-0.0021626241505146027,0.07949577271938324
fou_017,-0.00047542646643705666,0.05911547690629959,0.04614042863249779,-0.09806833416223526,0.002145320177078247,0.09444484859704971
fou_018,-0.0033780098892748356,0.055785082280635834,0.044838596135377884,-0.09442462772130966,-0.005390238016843796,0.08208032697439194
fou_019,0.0005599076393991709,0.048142969608306885,0.03746005892753601,-0.08787976950407028,0.001818489283323288,0.07301661372184753
fou_020,-0.0018145537469536066,0.04464861750602722,0.03564029932022095,-0.07517726719379425,0.0011664628982543945,0.07078151404857635
fou_021,0.0012606397503986955,0.04897013679146767,0.039243295788764954,-0.07966454327106476,0.0005345456302165985,0.08009698987007141
fou_022,-0.0016511279391124845,0.04673345014452934,0.036837197840213776,-0.08167343586683273,0.0010933764278888702,0.06907545030117035
fou_023,0.0008305451483465731,0.05018097534775734,0.03934657946228981,-0.08786918967962265,0.0041535384953022,0.07784698903560638
fou_024,0.0029927038121968508,0.04438064247369766,0.035909950733184814,-0.06687808036804199,0.0006681904196739197,0.07475875318050385
fou_025,0.00045173242688179016,0.045052945613861084,0.03465763479471207,-0.0713864341378212,-0.0011726487427949905,0.06921461224555969
fou_026,-2.4742261302890256e-05,0.043973106890916824,0.034788817167282104,-0.08325234055519104,0.005028828978538513,0.06285569816827774
fou_027,0.001138162799179554,0.0462832897901535,0.037171971052885056,-0.08092982321977615,0.005828745663166046,0.07033545523881912
fou_028,-0.0008715216536074877,0.04613634943962097,0.03574622794985771,-0.08354309946298599,0.001451939344406128,0.06846828013658524
fou_029,0.002572468249127269,0.042541515082120895,0.03388921171426773,-0.06886519491672516,0.005555633455514908,0.06665723770856857
fou_030,-0.0037870239466428757,0.04172656312584877,0.0335674025118351,-0.0705600380897522,-0.006564948707818985,0.06593406200408936
fou_031,-0.001762839499861002,0.04074130207300186,0.03238612785935402,-0.07046517729759216,-0.0004126802086830139,0.056870799511671066
fou_032,0.0027661591302603483,0.04288070648908615,0.03357372432947159,-0.0753268375992775,0.004969850182533264,0.06783432513475418
fou_033,0.0005140876164659858,0.04074980691075325,0.03231476619839668,-0.06951963156461716,0.0035954155027866364,0.059993401169776917
fou_034,-0.0021765322890132666,0.03915611281991005,0.03117906115949154,-0.0682004764676094,-0.004297811537981033,0.06405199319124222
fou_035,0.0007280615973286331,0.04020155966281891,0.03191936016082764,-0.0666685402393341,0.0014248229563236237,0.06366962194442749
fou_036,0.0024521625600755215,0.039147134870290756,0.031610146164894104,-0.05848332867026329,0.0029093436896800995,0.06499633193016052
fou_037,-0.002151000779122114,0.037767600268125534,0.02937171421945095,-0.06794507801532745,-6.432086229324341e-05,0.05252554640173912
fou_038,-0.001926072291098535,0.039405811578035355,0.03110022284090519,-0.07290121912956238,0.0029671862721443176,0.05324277654290199
fou_039,0.000776603992562741,0.038946483284235,0.03161697834730148,-0.06268299371004105,-0.00022222846746444702,0.06262858211994171
fou_040,-0.0009210353600792587,0.03831867501139641,0.030064597725868225,-0.06783341616392136,0.0017973631620407104,0.057826947420835495
fou_041,0.002443397883325815,0.034237172454595566,0.02696952596306801,-0.053654998540878296,0.005096323788166046,0.05126384273171425
fou_042,0.0017605321481823921,0.03614386171102524,0.029003512114286423,-0.06197855621576309,0.004318295046687126,0.05998291075229645
fou_043,-0.004151534289121628,0.03639521449804306,0.028789006173610687,-0.0682983547449112,-0.0007652081549167633,0.046277742832899094
fou_044,-0.003116815583780408,0.03987937793135643,0.033159174025058746,-0.07238084077835083,-0.003551192581653595,0.06070633977651596
fou_045,8.535340748494491e-05,0.03595445305109024,0.02858217991888523,-0.06704378128051758,0.0018185973167419434,0.05162092298269272
fou_046,0.0020992145873606205,0.03412092477083206,0.027426399290561676,-0.055369459092617035,0.004280252382159233,0.0532124824821949
fou_047,0.002776004606857896,0.03515857085585594,0.0280600693076849,-0.06324423104524612,0.0065927691757678986,0.05424544960260391
fou_048,-0.0006592930876649916,0.03937632218003273,0.031529005616903305,-0.06805697828531265,-0.0002934299409389496,0.06257569044828415
fou_049,0.0030855529475957155,0.0375702790915966,0.02960474044084549,-0.06291161477565765,0.004041928797960281,0.063566192984581
fou_050,0.00011542499123606831,0.03861512243747711,0.03114146552979946,-0.06973952800035477,0.003384120762348175,0.05726294592022896
fou_051,0.0012506768107414246,0.03931085765361786,0.03171287104487419,-0.06505335867404938,0.003969989717006683,0.060042854398489
fou_052,0.003308007027953863,0.038778048008680344,0.03153698146343231,-0.05695805326104164,0.00462774932384491,0.06790762394666672
fou_053,-0.001124817761592567,0.042487382888793945,0.03374394774436951,-0.08247170597314835,0.002408333122730255,0.060450393706560135
fou_054,-0.001617435715161264,0.04362413287162781,0.03463638201355934,-0.07340333610773087,4.671327769756317e-05,0.07119132578372955
fou_055,0.00039254649891518056,0.04117997735738754,0.03302161395549774,-0.07228286564350128,0.004367414861917496,0.06342366337776184
