epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.0636027529835701,0.06560485064983368,positive_share
49,0,1,fac,216,0.5740318894386292,0.5921013355255127,positive_share
49,0,1,kar,64,0.2610229551792145,0.26923948526382446,positive_share
49,0,1,zer,47,0.05270402878522873,0.054363053292036057,positive_share
49,0,1,mor,6,0.018120894208550453,0.018691306933760643,positive_share
69,1,2,fou,76,0.057641927152872086,0.06135212630033493,positive_share
69,1,2,fac,216,0.5607275366783142,0.5968195199966431,positive_share
69,1,2,kar,64,0.21715740859508514,0.2311350405216217,positive_share
69,1,2,zer,47,0.09898538142442703,0.10535670816898346,positive_share
69,1,2,mor,6,0.005013881251215935,0.0053366064094007015,positive_share
89,2,3,fou,76,0.06050623208284378,0.06601248681545258,positive_share
89,2,3,fac,216,0.5348880290985107,0.5835644602775574,positive_share
89,2,3,kar,64,0.19588392972946167,0.2137099653482437,positive_share
89,2,3,zer,47,0.12033578753471375,0.13128671050071716,positive_share
89,2,3,mor,6,0.004973691422492266,0.005426312796771526,positive_share
109,3,4,fou,76,0.05578526481986046,0.062237318605184555,positive_share
109,3,4,fac,216,0.5322847962379456,0.5938481688499451,positive_share
109,3,4,kar,64,0.19271805882453918,0.21500758826732635,positive_share
109,3,4,zer,47,0.10956359654664993,0.12223558127880096,positive_share
109,3,4,mor,6,0.0059797377325594425,0.006671346724033356,positive_share
129,4,5,fou,76,0.052567414939403534,0.06188090518116951,positive_share
129,4,5,fac,216,0.5177741646766663,0.6095094084739685,positive_share
129,4,5,kar,64,0.16925987601280212,0.1992480307817459,positive_share
129,4,5,zer,47,0.1098918542265892,0.12936164438724518,positive_share
129,4,5,mor,6,-0.005198002327233553,0.0,positive_share
169,5,6,fou,76,0.04298689216375351,0.051617302000522614,positive_share
169,5,6,fac,216,0.5211120843887329,0.6257349252700806,positive_share
169,5,6,kar,64,0.17435471713542938,0.20935964584350586,positive_share
169,5,6,zer,47,0.0943463146686554,0.11328807473182678,positive_share
169,5,6,mor,6,-0.0049908882938325405,0.0,positive_share
