epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.11791494488716125,0.07736140489578247,positive_share
49,0,1,fac,216,0.9311575889587402,0.610912024974823,positive_share
49,0,1,kar,64,0.21680080890655518,0.14223824441432953,positive_share
49,0,1,zer,47,0.15599393844604492,0.10234420001506805,positive_share
49,0,1,mor,6,0.10234156250953674,0.06714405119419098,positive_share
69,1,2,fou,76,0.11153605580329895,0.06824000924825668,positive_share
69,1,2,fac,216,0.9655531048774719,0.5907448530197144,positive_share
69,1,2,kar,64,0.26758286356925964,0.16371259093284607,positive_share
69,1,2,zer,47,0.15960557758808136,0.09764990955591202,positive_share
69,1,2,mor,6,0.13018962740898132,0.07965263724327087,positive_share
89,2,3,fou,76,0.13150104880332947,0.07713747024536133,positive_share
89,2,3,fac,216,0.9669208526611328,0.5671880841255188,positive_share
89,2,3,kar,64,0.2774673402309418,0.16276013851165771,positive_share
89,2,3,zer,47,0.17358249425888062,0.10182211548089981,positive_share
89,2,3,mor,6,0.15529045462608337,0.09109214693307877,positive_share
109,3,4,fou,76,0.15606071054935455,0.08703579008579254,positive_share
109,3,4,fac,216,1.0077717304229736,0.5620390176773071,positive_share
109,3,4,kar,64,0.2819146513938904,0.1572251170873642,positive_share
109,3,4,zer,47,0.20156189799308777,0.11241201311349869,positive_share
109,3,4,mor,6,0.14575456082820892,0.08128800243139267,positive_share
129,4,5,fou,76,0.1577693223953247,0.0875742956995964,positive_share
129,4,5,fac,216,1.0424340963363647,0.5786322951316833,positive_share
129,4,5,kar,64,0.2650185525417328,0.14710599184036255,positive_share
129,4,5,zer,47,0.18488667905330658,0.10262653976678848,positive_share
129,4,5,mor,6,0.15143971145153046,0.08406086266040802,positive_share
169,5,6,fou,76,0.15680226683616638,0.08617085218429565,positive_share
169,5,6,fac,216,1.0505527257919312,0.5773323774337769,positive_share
169,5,6,kar,64,0.25461649894714355,0.1399247646331787,positive_share
169,5,6,zer,47,0.19358232617378235,0.10638337582349777,positive_share
169,5,6,mor,6,0.16411323845386505,0.09018860757350922,positive_share
