epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.024408776313066483,0.02709508128464222,positive_share
49,0,1,fac,216,0.566318154335022,0.6286442279815674,positive_share
49,0,1,kar,64,0.19593098759651184,0.2174941450357437,positive_share
49,0,1,zer,47,0.11419841647148132,0.12676650285720825,positive_share
49,0,1,mor,6,-0.0057091256603598595,0.0,positive_share
69,1,2,fou,76,0.04881596937775612,0.0510234571993351,positive_share
69,1,2,fac,216,0.5861274600028992,0.6126325130462646,positive_share
69,1,2,kar,64,0.19547510147094727,0.20431460440158844,positive_share
69,1,2,zer,47,0.1174725666642189,0.12278474867343903,positive_share
69,1,2,mor,6,0.008844682015478611,0.009244644083082676,positive_share
89,2,3,fou,76,0.04922640696167946,0.05337459221482277,positive_share
89,2,3,fac,216,0.5591440796852112,0.6062617301940918,positive_share
89,2,3,kar,64,0.18835237622261047,0.2042243629693985,positive_share
89,2,3,zer,47,0.11786007881164551,0.1277918517589569,positive_share
89,2,3,mor,6,0.007698662579059601,0.008347409777343273,positive_share
109,3,4,fou,76,0.0418984591960907,0.04661644622683525,positive_share
109,3,4,fac,216,0.5598812699317932,0.6229268312454224,positive_share
109,3,4,kar,64,0.18377070128917694,0.20446424186229706,positive_share
109,3,4,zer,47,0.10667544603347778,0.11868765950202942,positive_share
109,3,4,mor,6,0.006565462797880173,0.007304768543690443,positive_share
129,4,5,fou,76,0.03735202178359032,0.044152747839689255,positive_share
129,4,5,fac,216,0.5452697277069092,0.6445475816726685,positive_share
129,4,5,kar,64,0.16979601979255676,0.2007109671831131,positive_share
129,4,5,zer,47,0.09114836901426315,0.10774385929107666,positive_share
129,4,5,mor,6,0.0024066087789833546,0.002844782778993249,positive_share
169,5,6,fou,76,0.04115329310297966,0.04843515157699585,positive_share
169,5,6,fac,216,0.548736035823822,0.6458319425582886,positive_share
169,5,6,kar,64,0.16395530104637146,0.19296632707118988,positive_share
169,5,6,zer,47,0.09581299871206284,0.11276660114526749,positive_share
169,5,6,mor,6,-0.0019301904831081629,0.0,positive_share
