node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.0960806608200073,1.5940439701080322,0.39265120029449463,32.0,0.0,1.0,0.20822101831436157,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.0063750743865967,1.283447504043579,0.2706567049026489,32.0,0.0,1.0,0.06981763243675232,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.43040385842323303,0.23718051612377167,0.051933035254478455,32.0,0.0,1.0,0.03114478476345539,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.37417638301849365,0.17808735370635986,0.03807938098907471,32.0,0.0,1.0,0.013906405307352543,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-0.7126517295837402,0.6687800884246826,0.16090762615203857,32.0,0.0,1.0,0.054061394184827805,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-0.7459715604782104,0.7805317640304565,0.22405821084976196,32.0,0.0,1.0,0.03230694681406021,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.1990567296743393,0.056338295340538025,0.016714714467525482,32.0,0.0,1.0,0.009550860151648521,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.14821898937225342,0.03351543843746185,0.01154656894505024,32.0,0.0,1.0,0.008107008412480354,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-0.9796866774559021,1.1882164478302002,0.22843044996261597,32.0,0.0,1.0,0.06422187387943268,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-0.794546902179718,0.7827638387680054,0.15145903825759888,32.0,0.0,1.0,0.02673996426165104,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.2743098735809326,0.0999286100268364,0.024682700634002686,32.0,0.0,1.0,0.011390984989702702,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.18814513087272644,0.0416044220328331,0.0062058307230472565,32.0,0.0,1.0,0.00621027173474431,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-0.6076748967170715,0.47795233130455017,0.10868355631828308,32.0,0.0,1.0,0.02280430682003498,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-0.49781641364097595,0.344535231590271,0.09671404957771301,32.0,0.0,1.0,0.02156861685216427,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.08420490473508835,0.016874520108103752,0.009784054011106491,32.0,0.0,1.0,0.007542139384895563,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.017240330576896667,0.0010580054949969053,0.0007607764564454556,32.0,0.0,1.0,0.004648538306355476,32,0.0,49,0,1
