feature,mean_diff,std_diff,mae,q05,q50,q95
fou_000,0.0011510425247251987,0.04592910781502724,0.0352323018014431,-0.06681164354085922,-0.002056501805782318,0.08029443025588989
fou_001,-0.002992279827594757,0.06773078441619873,0.05154714733362198,-0.10953652113676071,-0.005811534821987152,0.10907762497663498
fou_002,0.0028278690297156572,0.07535974681377411,0.05717412382364273,-0.11181404441595078,0.000693395733833313,0.13807626068592072
fou_003,-0.005339790601283312,0.08802470564842224,0.064242422580719,-0.14631401002407074,-0.005701035261154175,0.13655877113342285
fou_004,0.002917240373790264,0.07690519839525223,0.05821927636861801,-0.11847975850105286,0.004358723759651184,0.12326151132583618
fou_005,-0.001852610963396728,0.05241575092077255,0.038694433867931366,-0.08248494565486908,-0.004039447754621506,0.07766593992710114
fou_006,0.0010995996417477727,0.06575997173786163,0.048445653170347214,-0.10184240341186523,0.00027060508728027344,0.10743863880634308
fou_007,0.00940319150686264,0.07131844758987427,0.05473525822162628,-0.10134690999984741,0.003938838839530945,0.14589940011501312
fou_008,-0.003396722488105297,0.07954984158277512,0.06058516353368759,-0.1257156878709793,-0.002289682626724243,0.12720142304897308
fou_009,0.002147009829059243,0.055245935916900635,0.04425680637359619,-0.08970708400011063,0.003714635968208313,0.08520697057247162
fou_010,-0.0019398939330130816,0.060749974101781845,0.047466669231653214,-0.10415857285261154,-0.004017636179924011,0.10134047269821167
fou_011,-0.0007593752234242857,0.05885359272360802,0.04700162261724472,-0.08507882058620453,-0.0022947490215301514,0.10268207639455795
fou_012,0.0010736036347225308,0.06328900903463364,0.05018709972500801,-0.10163485258817673,0.004873752593994141,0.10546518117189407
fou_013,0.00024629064137116075,0.06316663324832916,0.050290241837501526,-0.09807238727807999,0.0007403343915939331,0.10533303767442703
fou_014,0.0029083117842674255,0.05163489654660225,0.04037228971719742,-0.08878248929977417,7.219985127449036e-05,0.08625169098377228
fou_015,-0.0011072104098275304,0.04992280155420303,0.03848354145884514,-0.07959512621164322,-0.0010905750095844269,0.07897830009460449
fou_016,-0.0036167888902127743,0.053401313722133636,0.04303935170173645,-0.09579162299633026,-0.00223623588681221,0.07693196833133698
fou_017,0.0017669749213382602,0.059388767927885056,0.04641266167163849,-0.09611106663942337,0.00310622900724411,0.09827810525894165
fou_018,-0.0034684971906244755,0.05501663684844971,0.04376519098877907,-0.0912003293633461,-0.001835070550441742,0.08291804045438766
fou_019,0.002093056682497263,0.0480322502553463,0.03777211531996727,-0.08784032613039017,0.004050742834806442,0.07630325108766556
fou_020,-0.0021465627942234278,0.04451701045036316,0.035420939326286316,-0.07538659125566483,0.0005601979792118073,0.06508956849575043
fou_021,0.0005600385484285653,0.04885728657245636,0.038870397955179214,-0.07479400932788849,-0.001377556473016739,0.07688784599304199
fou_022,-0.0019946382381021976,0.046170298010110855,0.036235738545656204,-0.08317243307828903,0.00046403706073760986,0.06898494809865952
fou_023,-0.0012462262529879808,0.05014348402619362,0.0395059771835804,-0.08674386888742447,-0.001001596450805664,0.07554931193590164
fou_024,0.0016216118820011616,0.044259075075387955,0.03564170375466347,-0.0662752240896225,0.0018291696906089783,0.07260040938854218
fou_025,0.0005566569161601365,0.04545801132917404,0.0347253754734993,-0.07074350863695145,-0.0006680935621261597,0.07025955617427826
fou_026,-6.391048373188823e-05,0.04400446638464928,0.03491048514842987,-0.08253373205661774,0.002806244418025017,0.06468099355697632
fou_027,0.0012784781865775585,0.04641702026128769,0.03733062744140625,-0.07845744490623474,0.005475031211972237,0.07127165794372559
fou_028,-0.001804789062589407,0.04581642523407936,0.03542768955230713,-0.08092024177312851,0.0009668730199337006,0.06661494076251984
fou_029,0.00196926761418581,0.04258279129862785,0.03381621465086937,-0.07074417918920517,0.0035764314234256744,0.06785246729850769
fou_030,-0.00403808755800128,0.041616491973400116,0.03359253332018852,-0.06881607323884964,-0.006187364459037781,0.06723953783512115
fou_031,-0.0020760432817041874,0.04108373448252678,0.032799024134874344,-0.07329204678535461,0.0004958324134349823,0.05843580514192581
fou_032,0.0028145324904471636,0.04285585880279541,0.033445436507463455,-0.07594767212867737,0.005318604409694672,0.06656426191329956
fou_033,0.0007320530130527914,0.04096091166138649,0.0325971283018589,-0.06716267764568329,0.004019685089588165,0.06093490123748779
fou_034,-0.0023972385097295046,0.039370011538267136,0.031567662954330444,-0.0686945840716362,-0.0037075504660606384,0.0661066398024559
fou_035,0.0015773044433444738,0.040277209132909775,0.03238888084888458,-0.06914542615413666,0.0017685070633888245,0.06348272413015366
fou_036,0.002249112818390131,0.039180953055620193,0.03171801194548607,-0.06065184623003006,0.0036688633263111115,0.06552035361528397
fou_037,-0.0019564172253012657,0.03758249804377556,0.02909133955836296,-0.07067731767892838,0.0013125129044055939,0.05205501616001129
fou_038,-0.0020808542612940073,0.03898089379072189,0.030868258327245712,-0.07130008190870285,0.00253257155418396,0.05264551192522049
fou_039,0.00025802821619436145,0.03907052427530289,0.03177124634385109,-0.06621822714805603,-0.0006786882877349854,0.06237959861755371
