epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.030857842415571213,0.036054324358701706,positive_share
49,0,1,fac,216,0.5241305232048035,0.6123944520950317,positive_share
49,0,1,kar,64,0.17386136949062347,0.20313973724842072,positive_share
49,0,1,zer,47,0.09447545558214188,0.11038518697023392,positive_share
49,0,1,mor,6,0.03254561871290207,0.038026321679353714,positive_share
69,1,2,fou,76,0.055854808539152145,0.06115993857383728,positive_share
69,1,2,fac,216,0.5305113196372986,0.5808996558189392,positive_share
69,1,2,kar,64,0.18818062543869019,0.20605416595935822,positive_share
69,1,2,zer,47,0.12282900512218475,0.13449539244174957,positive_share
69,1,2,mor,6,0.01588231697678566,0.01739083044230938,positive_share
89,2,3,fou,76,0.049306757748126984,0.05780665948987007,positive_share
89,2,3,fac,216,0.5029564499855042,0.5896601676940918,positive_share
89,2,3,kar,64,0.1747998297214508,0.2049332559108734,positive_share
89,2,3,zer,47,0.11348646879196167,0.13305018842220306,positive_share
89,2,3,mor,6,0.012410303577780724,0.01454969309270382,positive_share
109,3,4,fou,76,0.03875846788287163,0.047600775957107544,positive_share
109,3,4,fac,216,0.49762773513793945,0.6111558675765991,positive_share
109,3,4,kar,64,0.16538667678833008,0.20311777293682098,positive_share
109,3,4,zer,47,0.10596351325511932,0.13013789057731628,positive_share
109,3,4,mor,6,0.006503891199827194,0.007987680844962597,positive_share
129,4,5,fou,76,0.04137590900063515,0.05019593611359596,positive_share
129,4,5,fac,216,0.4922600984573364,0.5971943140029907,positive_share
129,4,5,kar,64,0.16904577612876892,0.20508095622062683,positive_share
129,4,5,zer,47,0.11367739737033844,0.13790979981422424,positive_share
129,4,5,mor,6,0.007928846403956413,0.009619024582207203,positive_share
169,5,6,fou,76,0.03124232217669487,0.040445730090141296,positive_share
169,5,6,fac,216,0.4915814995765686,0.6363922953605652,positive_share
169,5,6,kar,64,0.15059849619865417,0.1949620097875595,positive_share
169,5,6,zer,47,0.09902814030647278,0.1281999945640564,positive_share
169,5,6,mor,6,-0.0059418161399662495,0.0,positive_share
