feature,mean_diff,std_diff,mae,q05,q50,q95
fou_000,-0.0003318960953038186,0.04803142696619034,0.036100201308727264,-0.07323376834392548,-0.002804085612297058,0.07973092794418335
fou_001,-0.004300122149288654,0.06516876816749573,0.05021309480071068,-0.10900827497243881,-0.008998312056064606,0.11111652851104736
fou_002,-0.0007031748536974192,0.07482200860977173,0.05684448406100273,-0.1128920242190361,-0.0025226250290870667,0.13953958451747894
fou_003,-0.006240163929760456,0.08496332913637161,0.06300830096006393,-0.13756100833415985,-0.004482366144657135,0.12510445713996887
fou_004,0.005036482121795416,0.0734977275133133,0.05637848749756813,-0.11522923409938812,0.006470188498497009,0.11397381126880646
fou_005,-0.003379293717443943,0.05115056410431862,0.03732125833630562,-0.08100179582834244,-0.002726905047893524,0.07357911020517349
fou_006,0.0036504745949059725,0.0644846260547638,0.04657739773392677,-0.09896465390920639,0.0034088045358657837,0.1062118262052536
fou_007,0.008664083667099476,0.06968584656715393,0.05272740498185158,-0.09111174196004868,0.0006112828850746155,0.14756031334400177
fou_008,-0.0015211679274216294,0.07893060147762299,0.05992509424686432,-0.12992724776268005,-0.0006427019834518433,0.13589465618133545
fou_009,-0.0002123722806572914,0.05451643466949463,0.043391596525907516,-0.09375441074371338,0.0024095550179481506,0.08299241960048676
fou_010,-0.004583504982292652,0.060049500316381454,0.04714332893490791,-0.10527699440717697,-0.006605476140975952,0.09656114131212234
fou_011,0.000452116277301684,0.05718453228473663,0.04576989263296127,-0.08539261668920517,-0.002718418836593628,0.09192588180303574
fou_012,0.00036875129444524646,0.06344611197710037,0.04999895393848419,-0.10537467151880264,0.003483511507511139,0.10661581158638
fou_013,0.0017200767761096358,0.06365624070167542,0.05079968273639679,-0.09723648428916931,0.0032893717288970947,0.1099061444401741
fou_014,0.0021884760353714228,0.050795480608940125,0.03956365957856178,-0.0857197567820549,2.3651868104934692e-05,0.08933046460151672
fou_015,-0.003253668313845992,0.049747392535209656,0.03824421018362045,-0.08497881144285202,-0.002020113170146942,0.07939454913139343
fou_016,-0.003604522440582514,0.05286639183759689,0.04275869205594063,-0.0968012586236,-0.0014728531241416931,0.07546064257621765
