epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.04922252893447876,0.05163741111755371,positive_share
49,0,1,fac,216,0.5999346971511841,0.6293678283691406,positive_share
49,0,1,kar,64,0.20830592513084412,0.21852552890777588,positive_share
49,0,1,zer,47,0.0957707017660141,0.10046926140785217,positive_share
49,0,1,mor,6,-0.0022750620264559984,0.0,positive_share
69,1,2,fou,76,0.03527113050222397,0.038066886365413666,positive_share
69,1,2,fac,216,0.5716661810874939,0.6169791221618652,positive_share
69,1,2,kar,64,0.1908644735813141,0.20599327981472015,positive_share
69,1,2,zer,47,0.12875504791736603,0.13896077871322632,positive_share
69,1,2,mor,6,-0.008337368257343769,0.0,positive_share
89,2,3,fou,76,0.04663682356476784,0.0505501888692379,positive_share
89,2,3,fac,216,0.5603745579719543,0.6073964238166809,positive_share
89,2,3,kar,64,0.19505049288272858,0.21141748130321503,positive_share
89,2,3,zer,47,0.12052269279956818,0.13063593208789825,positive_share
89,2,3,mor,6,-0.0017857500351965427,0.0,positive_share
109,3,4,fou,76,0.04675544798374176,0.05300820246338844,positive_share
109,3,4,fac,216,0.5516109466552734,0.6253796219825745,positive_share
109,3,4,kar,64,0.18221724033355713,0.20658573508262634,positive_share
109,3,4,zer,47,0.10145813226699829,0.11502645164728165,positive_share
109,3,4,mor,6,-0.02229040302336216,0.0,positive_share
129,4,5,fou,76,0.04183577746152878,0.04893583059310913,positive_share
129,4,5,fac,216,0.5483678579330444,0.6414327025413513,positive_share
129,4,5,kar,64,0.16998611390590668,0.1988348662853241,positive_share
129,4,5,zer,47,0.09472118318080902,0.11079654842615128,positive_share
129,4,5,mor,6,-0.019719518721103668,0.0,positive_share
169,5,6,fou,76,0.051123786717653275,0.05794477462768555,positive_share
169,5,6,fac,216,0.5578445792198181,0.6322727799415588,positive_share
169,5,6,kar,64,0.1691112518310547,0.19167424738407135,positive_share
169,5,6,zer,47,0.10420508682727814,0.11810823529958725,positive_share
169,5,6,mor,6,-0.002793363993987441,0.0,positive_share
