epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.05423032492399216,0.0431133471429348,positive_share
49,0,1,fac,216,0.82914799451828,0.6591762900352478,positive_share
49,0,1,kar,64,0.16758845746517181,0.13323356211185455,positive_share
49,0,1,zer,47,0.15731430053710938,0.12506556510925293,positive_share
49,0,1,mor,6,0.04957360029220581,0.03941122815012932,positive_share
69,1,2,fou,76,0.0795086994767189,0.05898820981383324,positive_share
69,1,2,fac,216,0.8466114401817322,0.628108561038971,positive_share
69,1,2,kar,64,0.1831614375114441,0.13588909804821014,positive_share
69,1,2,zer,47,0.1768217533826828,0.1311856359243393,positive_share
69,1,2,mor,6,0.06177119165658951,0.045828595757484436,positive_share
89,2,3,fou,76,0.09251673519611359,0.06035468354821205,positive_share
89,2,3,fac,216,0.9480785727500916,0.6184933185577393,positive_share
89,2,3,kar,64,0.21879592537879944,0.1427348107099533,positive_share
89,2,3,zer,47,0.21050655841827393,0.13732711970806122,positive_share
89,2,3,mor,6,0.06298629939556122,0.04109006002545357,positive_share
109,3,4,fou,76,0.12743151187896729,0.07101768255233765,positive_share
109,3,4,fac,216,1.0556451082229614,0.5883118510246277,positive_share
109,3,4,kar,64,0.2738570272922516,0.15262073278427124,positive_share
109,3,4,zer,47,0.2610216438770294,0.14546756446361542,positive_share
109,3,4,mor,6,0.07640790194272995,0.042582184076309204,positive_share
129,4,5,fou,76,0.1473046839237213,0.07692063599824905,positive_share
129,4,5,fac,216,1.1239858865737915,0.5869311690330505,positive_share
129,4,5,kar,64,0.2953628897666931,0.15423475205898285,positive_share
129,4,5,zer,47,0.27798253297805786,0.14515894651412964,positive_share
129,4,5,mor,6,0.07038560509681702,0.03675447031855583,positive_share
169,5,6,fou,76,0.1555042862892151,0.07736274600028992,positive_share
169,5,6,fac,216,1.1795799732208252,0.5868362188339233,positive_share
169,5,6,kar,64,0.32637929916381836,0.16237236559391022,positive_share
169,5,6,zer,47,0.2826349139213562,0.1406097114086151,positive_share
169,5,6,mor,6,0.06596818566322327,0.03281890228390694,positive_share
