epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.11902513355016708,0.07643094658851624,positive_share
49,0,1,fac,216,0.9490315318107605,0.6094122529029846,positive_share
49,0,1,kar,64,0.17858925461769104,0.11467952281236649,positive_share
49,0,1,zer,47,0.18839412927627563,0.12097563594579697,positive_share
49,0,1,mor,6,0.12224970012903214,0.07850157469511032,positive_share
69,1,2,fou,76,0.13210538029670715,0.08569894731044769,positive_share
69,1,2,fac,216,0.9099035263061523,0.5902694463729858,positive_share
69,1,2,kar,64,0.20203867554664612,0.13106583058834076,positive_share
69,1,2,zer,47,0.18566006422042847,0.12044075131416321,positive_share
69,1,2,mor,6,0.1117977723479271,0.07252506166696548,positive_share
89,2,3,fou,76,0.14253006875514984,0.0892152264714241,positive_share
89,2,3,fac,216,0.9420161843299866,0.589645266532898,positive_share
89,2,3,kar,64,0.2212006002664566,0.1384582221508026,positive_share
89,2,3,zer,47,0.18926161527633667,0.11846635490655899,positive_share
89,2,3,mor,6,0.1025896817445755,0.06421495229005814,positive_share
109,3,4,fou,76,0.12317182123661041,0.07454240322113037,positive_share
109,3,4,fac,216,1.0282816886901855,0.622306227684021,positive_share
109,3,4,kar,64,0.21311567723751068,0.12897557020187378,positive_share
109,3,4,zer,47,0.19208505749702454,0.11624803394079208,positive_share
109,3,4,mor,6,0.09571828693151474,0.05792779102921486,positive_share
129,4,5,fou,76,0.1257220357656479,0.07312633842229843,positive_share
129,4,5,fac,216,1.1096590757369995,0.6454342007637024,positive_share
129,4,5,kar,64,0.21200673282146454,0.12331391125917435,positive_share
129,4,5,zer,47,0.1799696832895279,0.10467953234910965,positive_share
129,4,5,mor,6,0.09188675880432129,0.05344601720571518,positive_share
169,5,6,fou,76,0.14229974150657654,0.07823218405246735,positive_share
169,5,6,fac,216,1.1433660984039307,0.628588855266571,positive_share
169,5,6,kar,64,0.2232057750225067,0.12271192669868469,positive_share
169,5,6,zer,47,0.18777380883693695,0.1032324805855751,positive_share
169,5,6,mor,6,0.12229561060667038,0.06723450869321823,positive_share
