node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase,run_id,training_type,shapley_tactic
0,0,0,1.0,-1.4419479370117188,2.308346033096313,0.2291321754455566,32.0,0.0,1.0,0.179356038570404,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
1,10000,1,0.4000000059604645,-1.3634082078933716,2.008338451385498,0.14945650100708,32.0,0.0,1.0,0.0586185231804847,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
2,1000,1,0.4000000059604645,-0.4495596289634704,0.2390373647212982,0.0369335114955902,32.0,0.0,1.0,0.0296427700668573,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
3,11000,2,0.2000000029802322,-0.3774800598621368,0.1685863435268402,0.0260951519012451,32.0,0.0,1.0,0.0130380094051361,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
4,100,1,0.4000000059604645,-1.192209243774414,1.5816584825515747,0.1602956056594848,32.0,0.0,1.0,0.0606713071465492,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
5,10100,2,0.2000000029802322,-1.0747230052947998,1.3793606758117676,0.2243311405181884,32.0,0.0,1.0,0.036295510828495,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
6,1100,2,0.2000000029802322,-0.2289756834506988,0.0747604072093963,0.0223305448889732,32.0,0.0,1.0,0.0121358754113316,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
7,11100,3,0.2000000029802322,-0.1935986280441284,0.052921961992979,0.015441533178091,32.0,0.0,1.0,0.0102601908147335,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
8,10,1,0.4000000059604645,-1.277369499206543,1.8263381719589236,0.1946653127670288,32.0,0.0,1.0,0.0667580664157867,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
9,10010,2,0.2000000029802322,-1.2208770513534546,1.7217698097229004,0.2312290668487548,32.0,0.0,1.0,0.0368340499699115,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
10,1010,2,0.2000000029802322,-0.2609388828277588,0.0975510403513908,0.0294619426131248,32.0,0.0,1.0,0.0137910274788737,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
11,11010,3,0.2000000029802322,-0.2369351536035537,0.079347938299179,0.0232096724212169,32.0,0.0,1.0,0.0123529639095067,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
12,110,2,0.2000000029802322,-1.055936336517334,1.2808113098144531,0.1658097505569458,32.0,0.0,1.0,0.0313444808125495,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
