epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.08353374898433685,0.05021325498819351,positive_share
49,0,1,fac,216,1.0010615587234497,0.6017515063285828,positive_share
49,0,1,kar,64,0.2741982340812683,0.1648242175579071,positive_share
49,0,1,zer,47,0.22576971352100372,0.13571318984031677,positive_share
49,0,1,mor,6,0.07901638001203537,0.04749780148267746,positive_share
69,1,2,fou,76,0.12404095381498337,0.07682544738054276,positive_share
69,1,2,fac,216,0.9595404863357544,0.5942966938018799,positive_share
69,1,2,kar,64,0.24945783615112305,0.15450309216976166,positive_share
69,1,2,zer,47,0.19408661127090454,0.12020861357450485,positive_share
69,1,2,mor,6,0.08745572715997696,0.05416618660092354,positive_share
89,2,3,fou,76,0.1255749762058258,0.07594015449285507,positive_share
89,2,3,fac,216,0.9744194746017456,0.5892699956893921,positive_share
89,2,3,kar,64,0.23295941948890686,0.1408797800540924,positive_share
89,2,3,zer,47,0.20710135996341705,0.12524238228797913,positive_share
89,2,3,mor,6,0.11354920268058777,0.0686676949262619,positive_share
109,3,4,fou,76,0.14220722019672394,0.07817276567220688,positive_share
109,3,4,fac,216,1.0451937913894653,0.5745537281036377,positive_share
109,3,4,kar,64,0.26191338896751404,0.14397647976875305,positive_share
109,3,4,zer,47,0.21227243542671204,0.1166883334517479,positive_share
109,3,4,mor,6,0.15755334496498108,0.08660868555307388,positive_share
129,4,5,fou,76,0.14337784051895142,0.07380660623311996,positive_share
129,4,5,fac,216,1.1277921199798584,0.5805535316467285,positive_share
129,4,5,kar,64,0.2771829664707184,0.14268547296524048,positive_share
129,4,5,zer,47,0.21610844135284424,0.11124613881111145,positive_share
129,4,5,mor,6,0.1781538724899292,0.09170826524496078,positive_share
169,5,6,fou,76,0.15188565850257874,0.0759221762418747,positive_share
169,5,6,fac,216,1.188157320022583,0.5939170718193054,positive_share
169,5,6,kar,64,0.2795473039150238,0.1397356390953064,positive_share
169,5,6,zer,47,0.1977691948413849,0.09885770827531815,positive_share
169,5,6,mor,6,0.18318456411361694,0.09156737476587296,positive_share
