epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.09137652814388275,0.07931556552648544,positive_share
49,0,1,fac,216,0.6189553141593933,0.5372582077980042,positive_share
49,0,1,kar,64,0.24658453464508057,0.21403737366199493,positive_share
49,0,1,zer,47,0.1746523678302765,0.15159966051578522,positive_share
49,0,1,mor,6,0.020494217053055763,0.017789145931601524,positive_share
69,1,2,fou,76,0.030753236263990402,0.03429816663265228,positive_share
69,1,2,fac,216,0.5444777607917786,0.607239842414856,positive_share
69,1,2,kar,64,0.19411809742450714,0.2164941281080246,positive_share
69,1,2,zer,47,0.1203765869140625,0.1342524141073227,positive_share
69,1,2,mor,6,0.006918012164533138,0.007715452928096056,positive_share
89,2,3,fou,76,0.04846249893307686,0.055480584502220154,positive_share
89,2,3,fac,216,0.519355297088623,0.5945656299591064,positive_share
89,2,3,kar,64,0.17499585449695587,0.20033784210681915,positive_share
89,2,3,zer,47,0.11937820911407471,0.136665940284729,positive_share
89,2,3,mor,6,0.011311914771795273,0.012950046919286251,positive_share
109,3,4,fou,76,0.05807119235396385,0.06614922732114792,positive_share
109,3,4,fac,216,0.5266520977020264,0.5999124050140381,positive_share
109,3,4,kar,64,0.1654476523399353,0.18846236169338226,positive_share
109,3,4,zer,47,0.1134750097990036,0.12926003336906433,positive_share
109,3,4,mor,6,0.014235684648156166,0.01621595025062561,positive_share
129,4,5,fou,76,0.05711003392934799,0.06845738738775253,positive_share
129,4,5,fac,216,0.5137298703193665,0.6158043146133423,positive_share
129,4,5,kar,64,0.15601341426372528,0.18701215088367462,positive_share
129,4,5,zer,47,0.1018846407532692,0.12212838232517242,positive_share
129,4,5,mor,6,0.005504129454493523,0.006597760133445263,positive_share
169,5,6,fou,76,0.052445389330387115,0.06576602905988693,positive_share
169,5,6,fac,216,0.503881573677063,0.6318627595901489,positive_share
169,5,6,kar,64,0.1500551849603653,0.18816779553890228,positive_share
169,5,6,zer,47,0.09089422225952148,0.1139805018901825,positive_share
169,5,6,mor,6,0.0001777650322765112,0.00022291568166110665,positive_share
