epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.1304604560136795,0.08519651740789413,positive_share
49,0,1,fac,216,0.9523589015007019,0.6219329833984375,positive_share
49,0,1,kar,64,0.2066165953874588,0.13492988049983978,positive_share
49,0,1,zer,47,0.14713555574417114,0.09608609974384308,positive_share
49,0,1,mor,6,0.09471697360277176,0.061854422092437744,positive_share
69,1,2,fou,76,0.09455055743455887,0.06496142596006393,positive_share
69,1,2,fac,216,0.9238475561141968,0.634734034538269,positive_share
69,1,2,kar,64,0.20574761927127838,0.14135991036891937,positive_share
69,1,2,zer,47,0.14576934278011322,0.10015154629945755,positive_share
69,1,2,mor,6,0.08557263016700745,0.058793097734451294,positive_share
89,2,3,fou,76,0.10765960067510605,0.06914364546537399,positive_share
89,2,3,fac,216,0.9623787999153137,0.6180812120437622,positive_share
89,2,3,kar,64,0.2346133291721344,0.150678813457489,positive_share
89,2,3,zer,47,0.16465140879154205,0.10574624687433243,positive_share
89,2,3,mor,6,0.08773954212665558,0.05635012313723564,positive_share
109,3,4,fou,76,0.14600524306297302,0.07637058943510056,positive_share
109,3,4,fac,216,1.0928316116333008,0.5716246366500854,positive_share
109,3,4,kar,64,0.28988632559776306,0.15163008868694305,positive_share
109,3,4,zer,47,0.26471713185310364,0.13846491277217865,positive_share
109,3,4,mor,6,0.11835914850234985,0.061909813433885574,positive_share
129,4,5,fou,76,0.15550291538238525,0.0795726627111435,positive_share
129,4,5,fac,216,1.1394190788269043,0.5830540657043457,positive_share
129,4,5,kar,64,0.30766263604164124,0.15743456780910492,positive_share
129,4,5,zer,47,0.2405305802822113,0.12308230996131897,positive_share
129,4,5,mor,6,0.11111018061637878,0.05685637891292572,positive_share
169,5,6,fou,76,0.16608412563800812,0.08054347336292267,positive_share
169,5,6,fac,216,1.2250056266784668,0.5940737128257751,positive_share
169,5,6,kar,64,0.340212345123291,0.1649879813194275,positive_share
169,5,6,zer,47,0.23711833357810974,0.1149919331073761,positive_share
169,5,6,mor,6,0.0936228483915329,0.045402951538562775,positive_share
