epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.10367459058761597,0.07877453416585922,positive_share
49,0,1,fac,216,0.8381235599517822,0.6368271112442017,positive_share
49,0,1,kar,64,0.2327214628458023,0.1768275648355484,positive_share
49,0,1,zer,47,0.11428967863321304,0.08684013783931732,positive_share
49,0,1,mor,6,0.027283500880002975,0.02073068358004093,positive_share
69,1,2,fou,76,0.12149950116872787,0.08377822488546371,positive_share
69,1,2,fac,216,0.8623455762863159,0.5946179032325745,positive_share
69,1,2,kar,64,0.24432224035263062,0.16846886277198792,positive_share
69,1,2,zer,47,0.15745879709720612,0.10857343673706055,positive_share
69,1,2,mor,6,0.06462537497282028,0.04456149414181709,positive_share
89,2,3,fou,76,0.10792915523052216,0.06830531358718872,positive_share
89,2,3,fac,216,0.9270308017730713,0.5866916179656982,positive_share
89,2,3,kar,64,0.27971744537353516,0.17702527344226837,positive_share
89,2,3,zer,47,0.18399789929389954,0.1164470687508583,positive_share
89,2,3,mor,6,0.08142375946044922,0.05153079703450203,positive_share
109,3,4,fou,76,0.1215251013636589,0.06812756508588791,positive_share
109,3,4,fac,216,1.0190939903259277,0.5713090896606445,positive_share
109,3,4,kar,64,0.3133431673049927,0.17566171288490295,positive_share
109,3,4,zer,47,0.21639195084571838,0.12131039053201675,positive_share
109,3,4,mor,6,0.11343330144882202,0.06359126418828964,positive_share
129,4,5,fou,76,0.1331976056098938,0.0723816305398941,positive_share
129,4,5,fac,216,1.070833683013916,0.5819075107574463,positive_share
129,4,5,kar,64,0.3132012188434601,0.17019836604595184,positive_share
129,4,5,zer,47,0.21936655044555664,0.11920716613531113,positive_share
129,4,5,mor,6,0.10361380875110626,0.05630534142255783,positive_share
169,5,6,fou,76,0.12713885307312012,0.06607719510793686,positive_share
169,5,6,fac,216,1.132615566253662,0.5886482000350952,positive_share
169,5,6,kar,64,0.3234739899635315,0.16811740398406982,positive_share
169,5,6,zer,47,0.22549563646316528,0.11719563603401184,positive_share
169,5,6,mor,6,0.11537190526723862,0.05996162071824074,positive_share
