epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.055265381932258606,0.051769908517599106,positive_share
49,0,1,fac,216,0.6247490048408508,0.5852343440055847,positive_share
49,0,1,kar,64,0.21368134021759033,0.2001662254333496,positive_share
49,0,1,zer,47,0.13112697005271912,0.12283333390951157,positive_share
49,0,1,mor,6,0.042696766555309296,0.03999624401330948,positive_share
69,1,2,fou,76,0.049915116280317307,0.052031807601451874,positive_share
69,1,2,fac,216,0.5814090967178345,0.6060642004013062,positive_share
69,1,2,kar,64,0.2041786015033722,0.21283696591854095,positive_share
69,1,2,zer,47,0.12079327553510666,0.12591561675071716,positive_share
69,1,2,mor,6,0.0030231624841690063,0.0031513620633631945,positive_share
89,2,3,fou,76,0.04421941563487053,0.04740571603178978,positive_share
89,2,3,fac,216,0.5664847493171692,0.6073036789894104,positive_share
89,2,3,kar,64,0.20304861664772034,0.21767960488796234,positive_share
89,2,3,zer,47,0.11903384327888489,0.12761101126670837,positive_share
89,2,3,mor,6,-0.00010920723434537649,0.0,positive_share
109,3,4,fou,76,0.037334587424993515,0.042541082948446274,positive_share
109,3,4,fac,216,0.5579060316085815,0.6357088088989258,positive_share
109,3,4,kar,64,0.17944128811359406,0.20446527004241943,positive_share
109,3,4,zer,47,0.10293064266443253,0.11728483438491821,positive_share
109,3,4,mor,6,-0.0039750393480062485,0.0,positive_share
129,4,5,fou,76,0.036867789924144745,0.04363498464226723,positive_share
129,4,5,fac,216,0.5457881093025208,0.6459691524505615,positive_share
129,4,5,kar,64,0.17342916131019592,0.20526261627674103,positive_share
129,4,5,zer,47,0.08882851153612137,0.10513325780630112,positive_share
129,4,5,mor,6,-0.007358382921665907,0.0,positive_share
169,5,6,fou,76,0.02926117740571499,0.03467903286218643,positive_share
169,5,6,fac,216,0.5470860004425049,0.648381769657135,positive_share
169,5,6,kar,64,0.17010943591594696,0.20160606503486633,positive_share
169,5,6,zer,47,0.09466737508773804,0.11219552159309387,positive_share
169,5,6,mor,6,0.0026473780162632465,0.0031375535763800144,positive_share
