epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.13259685039520264,0.08266687393188477,positive_share
49,0,1,fac,216,0.9556077718734741,0.5957691073417664,positive_share
49,0,1,kar,64,0.2245083749294281,0.13996867835521698,positive_share
49,0,1,zer,47,0.16116386651992798,0.10047684609889984,positive_share
49,0,1,mor,6,0.13011327385902405,0.08111850172281265,positive_share
69,1,2,fou,76,0.09297899901866913,0.06059757620096207,positive_share
69,1,2,fac,216,0.9359146952629089,0.6099674701690674,positive_share
69,1,2,kar,64,0.22248786687850952,0.14500291645526886,positive_share
69,1,2,zer,47,0.15632158517837524,0.10188009589910507,positive_share
69,1,2,mor,6,0.12666523456573486,0.08255204558372498,positive_share
89,2,3,fou,76,0.08796215802431107,0.05479457974433899,positive_share
89,2,3,fac,216,0.9817362427711487,0.6115564107894897,positive_share
89,2,3,kar,64,0.2327224165201187,0.1449705958366394,positive_share
89,2,3,zer,47,0.17893031239509583,0.11146169155836105,positive_share
89,2,3,mor,6,0.12395668029785156,0.07721677422523499,positive_share
109,3,4,fou,76,0.07352524250745773,0.045059021562337875,positive_share
109,3,4,fac,216,1.0344908237457275,0.6339747309684753,positive_share
109,3,4,kar,64,0.23170848190784454,0.14199963212013245,positive_share
109,3,4,zer,47,0.17428240180015564,0.10680678486824036,positive_share
109,3,4,mor,6,0.117747001349926,0.0721597746014595,positive_share
129,4,5,fou,76,0.08777454495429993,0.05079406872391701,positive_share
129,4,5,fac,216,1.1088619232177734,0.6416850090026855,positive_share
129,4,5,kar,64,0.23235806822776794,0.13446280360221863,positive_share
129,4,5,zer,47,0.16970600187778473,0.09820681065320969,positive_share
129,4,5,mor,6,0.1293465793132782,0.07485130429267883,positive_share
169,5,6,fou,76,0.10221215337514877,0.055368874222040176,positive_share
169,5,6,fac,216,1.1672879457473755,0.6323261857032776,positive_share
169,5,6,kar,64,0.25029227137565613,0.13558466732501984,positive_share
169,5,6,zer,47,0.19305622577667236,0.10457959771156311,positive_share
169,5,6,mor,6,0.13317322731018066,0.0721406564116478,positive_share
