epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.07388907670974731,0.07449756562709808,positive_share
49,0,1,fac,216,0.5685401558876038,0.5732222199440002,positive_share
49,0,1,kar,64,0.21605339646339417,0.21783263981342316,positive_share
49,0,1,zer,47,0.1333494782447815,0.1344476342201233,positive_share
49,0,1,mor,6,-0.017940357327461243,0.0,positive_share
69,1,2,fou,76,0.06981707364320755,0.07122453302145004,positive_share
69,1,2,fac,216,0.5724364519119263,0.5839763283729553,positive_share
69,1,2,kar,64,0.2008293867111206,0.20487794280052185,positive_share
69,1,2,zer,47,0.13599945604801178,0.13874109089374542,positive_share
69,1,2,mor,6,0.0011567918118089437,0.0011801117798313498,positive_share
89,2,3,fou,76,0.07867369800806046,0.08201189339160919,positive_share
89,2,3,fac,216,0.534961462020874,0.5576604008674622,positive_share
89,2,3,kar,64,0.2098231315612793,0.21872612833976746,positive_share
89,2,3,zer,47,0.1358378529548645,0.1416015774011612,positive_share
89,2,3,mor,6,-0.011550502851605415,0.0,positive_share
109,3,4,fou,76,0.0637386366724968,0.06852772831916809,positive_share
109,3,4,fac,216,0.5346653461456299,0.5748382210731506,positive_share
109,3,4,kar,64,0.1990312933921814,0.21398580074310303,positive_share
109,3,4,zer,47,0.13267920911312103,0.14264824986457825,positive_share
109,3,4,mor,6,-0.00484801921993494,0.0,positive_share
129,4,5,fou,76,0.056182630360126495,0.06332303583621979,positive_share
129,4,5,fac,216,0.5312809944152832,0.5988029837608337,positive_share
129,4,5,kar,64,0.17643946409225464,0.1988636553287506,positive_share
129,4,5,zer,47,0.12333530932664871,0.13901033997535706,positive_share
129,4,5,mor,6,-0.00828220508992672,0.0,positive_share
169,5,6,fou,76,0.05737848952412605,0.0653010830283165,positive_share
169,5,6,fac,216,0.5338795781135559,0.6075955629348755,positive_share
169,5,6,kar,64,0.16883857548236847,0.19215114414691925,positive_share
169,5,6,zer,47,0.11857925355434418,0.13495221734046936,positive_share
169,5,6,mor,6,-0.0046861544251441956,0.0,positive_share
