epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.125975599999947,,1024,32,baseline,shapley-20260606T024957Z-cc1ba015,shapley,baseline
69,69,B,1,0.0705854999978328,,1600,50,baseline,shapley-20260606T024957Z-cc1ba015,shapley,baseline
89,89,B,2,0.0427127000002656,,1600,50,baseline,shapley-20260606T024957Z-cc1ba015,shapley,baseline
109,109,B,3,0.0490057999995769,,1600,50,baseline,shapley-20260606T024957Z-cc1ba015,shapley,baseline
129,129,B,4,0.0463508000029833,,1600,50,baseline,shapley-20260606T024957Z-cc1ba015,shapley,baseline
169,169,B,5,0.0417359999992186,,1600,50,baseline,shapley-20260606T024957Z-cc1ba015,shapley,baseline
49,49,B,0,0.1355550000007497,,1024,32,marginal,shapley-20260606T025022Z-258e3fc2,shapley,marginal
69,69,B,1,0.0534187999983259,,1600,50,marginal,shapley-20260606T025022Z-258e3fc2,shapley,marginal
89,89,B,2,0.0466367000008176,,1600,50,marginal,shapley-20260606T025022Z-258e3fc2,shapley,marginal
109,109,B,3,0.0444776000003912,,1600,50,marginal,shapley-20260606T025022Z-258e3fc2,shapley,marginal
129,129,B,4,0.0517688999971142,,1600,50,marginal,shapley-20260606T025022Z-258e3fc2,shapley,marginal
169,169,B,5,0.046465999999782,,1600,50,marginal,shapley-20260606T025022Z-258e3fc2,shapley,marginal
49,49,B,0,0.1537602999997034,,1024,32,conditional,shapley-20260606T025046Z-425275ea,shapley,conditional
69,69,B,1,0.0845588999982283,,1600,50,conditional,shapley-20260606T025046Z-425275ea,shapley,conditional
89,89,B,2,0.0803114999980607,,1600,50,conditional,shapley-20260606T025046Z-425275ea,shapley,conditional
109,109,B,3,0.084750999998505,,1600,50,conditional,shapley-20260606T025046Z-425275ea,shapley,conditional
129,129,B,4,0.0861976999985927,,1600,50,conditional,shapley-20260606T025046Z-425275ea,shapley,conditional
169,169,B,5,0.0785264000005554,,1600,50,conditional,shapley-20260606T025046Z-425275ea,shapley,conditional
