node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.3518025875091553,2.000640392303467,0.1732701063156128,32.0,0.0,1.0,0.16358362138271332,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.3061124086380005,1.9275848865509033,0.2216552495956421,32.0,0.0,1.0,0.07455530762672424,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.475091814994812,0.26927870512008667,0.04356646537780762,32.0,0.0,1.0,0.0336100235581398,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.3883973956108093,0.18581557273864746,0.03496304154396057,32.0,0.0,1.0,0.01560661569237709,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-1.1004632711410522,1.3179521560668945,0.10693275928497314,32.0,0.0,1.0,0.052089348435401917,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-1.1220135688781738,1.5003468990325928,0.24143242835998535,32.0,0.0,1.0,0.03938334062695503,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.28822046518325806,0.12221049517393112,0.039139457046985626,32.0,0.0,1.0,0.016454409807920456,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.19301778078079224,0.048424407839775085,0.011168543249368668,32.0,0.0,1.0,0.009255497716367245,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-1.2369033098220825,1.6317286491394043,0.1017988920211792,32.0,0.0,1.0,0.0508478544652462,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-1.2654756307601929,1.778367280960083,0.17693865299224854,32.0,0.0,1.0,0.03385914862155914,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.3689444661140442,0.16349615156650543,0.02737613022327423,32.0,0.0,1.0,0.013925014063715935,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.23085713386535645,0.0696345865726471,0.01633957028388977,32.0,0.0,1.0,0.01098539587110281,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-1.110864520072937,1.3121557235717773,0.07813572883605957,32.0,0.0,1.0,0.022835835814476013,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-0.856899082660675,0.8444256782531738,0.11014962196350098,32.0,0.0,1.0,0.026926057413220406,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.13357973098754883,0.03421954810619354,0.016376003623008728,32.0,0.0,1.0,0.010996522381901741,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.05839959532022476,0.014871081337332726,0.011460568755865097,32.0,0.0,1.0,0.01772546023130417,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-1.304224967956543,1.901590347290039,0.20058763027191162,32.0,0.0,1.0,0.07097245007753372,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-1.2812891006469727,1.8054156303405762,0.16371381282806396,32.0,0.0,1.0,0.032607320696115494,32,0.0,49,0,1
18,01001,2,0.20000000298023224,-0.45382267236709595,0.24363060295581818,0.03767558932304382,32.0,0.0,1.0,0.01616264507174492,32,0.0,49,0,1
19,11001,3,0.20000000298023224,-0.29989874362945557,0.10491049289703369,0.014971233904361725,32.0,0.0,1.0,0.01055814977735281,32,0.0,49,0,1
20,00101,2,0.20000000298023224,-1.2573570013046265,1.8927390575408936,0.31179237365722656,32.0,0.0,1.0,0.044619202613830566,32,0.0,49,0,1
