epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.06982612609863281,0.048021625727415085,positive_share
49,0,1,fac,216,0.8730799555778503,0.6004445552825928,positive_share
49,0,1,kar,64,0.20869766175746918,0.14352795481681824,positive_share
49,0,1,zer,47,0.23246988654136658,0.15987685322761536,positive_share
49,0,1,mor,6,0.06998223066329956,0.04812898114323616,positive_share
69,1,2,fou,76,0.12289632856845856,0.07550220191478729,positive_share
69,1,2,fac,216,0.9127004146575928,0.5607237815856934,positive_share
69,1,2,kar,64,0.24604198336601257,0.15115758776664734,positive_share
69,1,2,zer,47,0.2317485809326172,0.14237633347511292,positive_share
69,1,2,mor,6,0.11433107405900955,0.0702400803565979,positive_share
89,2,3,fou,76,0.13576820492744446,0.08033792674541473,positive_share
89,2,3,fac,216,0.9522325396537781,0.5634632110595703,positive_share
89,2,3,kar,64,0.25411903858184814,0.15036951005458832,positive_share
89,2,3,zer,47,0.23920714855194092,0.14154571294784546,positive_share
89,2,3,mor,6,0.10863702744245529,0.06428363919258118,positive_share
109,3,4,fou,76,0.12254791706800461,0.07070861756801605,positive_share
109,3,4,fac,216,1.0116422176361084,0.583704948425293,positive_share
109,3,4,kar,64,0.25347766280174255,0.14625345170497894,positive_share
109,3,4,zer,47,0.22570687532424927,0.13023005425930023,positive_share
109,3,4,mor,6,0.11976505070924759,0.0691029354929924,positive_share
129,4,5,fou,76,0.09319006651639938,0.052826330065727234,positive_share
129,4,5,fac,216,1.0652329921722412,0.603844940662384,positive_share
129,4,5,kar,64,0.26121655106544495,0.1480749249458313,positive_share
129,4,5,zer,47,0.2295493334531784,0.13012383878231049,positive_share
129,4,5,mor,6,0.11489471048116684,0.06512996554374695,positive_share
169,5,6,fou,76,0.0973551869392395,0.05128723382949829,positive_share
169,5,6,fac,216,1.1566228866577148,0.6093150973320007,positive_share
169,5,6,kar,64,0.28295302391052246,0.1490611582994461,positive_share
169,5,6,zer,47,0.22487932443618774,0.11846762895584106,positive_share
169,5,6,mor,6,0.13642388582229614,0.07186882942914963,positive_share
