epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.03548741340637207,0.037840016186237335,positive_share
49,0,1,fac,216,0.5554755926132202,0.592300295829773,positive_share
49,0,1,kar,64,0.21225044131278992,0.22632136940956116,positive_share
49,0,1,zer,47,0.13461415469646454,0.14353826642036438,positive_share
49,0,1,mor,6,-0.03693748638033867,0.0,positive_share
69,1,2,fou,76,0.04357801005244255,0.047422438859939575,positive_share
69,1,2,fac,216,0.5343498587608337,0.5814899206161499,positive_share
69,1,2,kar,64,0.22045546770095825,0.23990392684936523,positive_share
69,1,2,zer,47,0.1133539006114006,0.12335391342639923,positive_share
69,1,2,mor,6,0.00719507597386837,0.007829821668565273,positive_share
89,2,3,fou,76,0.059243228286504745,0.06498963385820389,positive_share
89,2,3,fac,216,0.5194017291069031,0.569782018661499,positive_share
89,2,3,kar,64,0.19596466422080994,0.2149726152420044,positive_share
89,2,3,zer,47,0.11611072719097137,0.1273730993270874,positive_share
89,2,3,mor,6,0.020859263837337494,0.022882545366883278,positive_share
109,3,4,fou,76,0.04668562859296799,0.055132463574409485,positive_share
109,3,4,fac,216,0.5114122033119202,0.6039420366287231,positive_share
109,3,4,kar,64,0.17801888287067413,0.2102278470993042,positive_share
109,3,4,zer,47,0.09386137127876282,0.1108437180519104,positive_share
109,3,4,mor,6,0.01681211218237877,0.019853929057717323,positive_share
129,4,5,fou,76,0.033893145620822906,0.04300659894943237,positive_share
129,4,5,fac,216,0.49639058113098145,0.629863977432251,positive_share
129,4,5,kar,64,0.1716149002313614,0.21776005625724792,positive_share
129,4,5,zer,47,0.08443154394626617,0.10713415592908859,positive_share
129,4,5,mor,6,0.0017615915276110172,0.002235261956229806,positive_share
169,5,6,fou,76,0.03513024002313614,0.04377862066030502,positive_share
169,5,6,fac,216,0.5042359828948975,0.6283690333366394,positive_share
169,5,6,kar,64,0.1778099238872528,0.2215832620859146,positive_share
169,5,6,zer,47,0.08383652567863464,0.10447544604539871,positive_share
169,5,6,mor,6,0.0014393058372661471,0.001793634844943881,positive_share
