feature,mean_diff,std_diff,mae,q05,q50,q95
fou_000,0.000786871591117233,0.046297382563352585,0.03504166007041931,-0.06859444081783295,0.00013343244791030884,0.07264851033687592
fou_001,-0.0035279912408441305,0.06698726117610931,0.050358958542346954,-0.1079309806227684,-0.007371760904788971,0.1080191507935524
fou_002,0.0024270275607705116,0.0734185203909874,0.05547844246029854,-0.11244392395019531,-0.0008072853088378906,0.1389990746974945
fou_003,-0.006032503675669432,0.08623171597719193,0.0639258548617363,-0.1400623470544815,-0.006185784935951233,0.13218708336353302
fou_004,0.005240677390247583,0.0750669464468956,0.05709490925073624,-0.11862407624721527,0.003926120698451996,0.115925133228302
fou_005,-0.0013228139141574502,0.05200592055916786,0.03788461163640022,-0.08355619013309479,-0.0027080774307250977,0.07780931890010834
fou_006,0.004491716623306274,0.0651698112487793,0.047800902277231216,-0.1021786630153656,0.005583718419075012,0.1105654239654541
fou_007,0.01122845895588398,0.07029590010643005,0.05345119908452034,-0.08975968509912491,0.003952406346797943,0.15055836737155914
fou_008,-0.002292659832164645,0.07882197201251984,0.059761352837085724,-0.13065579533576965,-0.0013264939188957214,0.12363610416650772
fou_009,0.0010782473254948854,0.05687404423952103,0.0449691116809845,-0.08374587446451187,0.00414561852812767,0.08611376583576202
fou_010,-0.0008126776083372533,0.060295868664979935,0.04689857363700867,-0.10483431071043015,-0.0021879076957702637,0.1020393893122673
fou_011,0.0005812716553919017,0.057324107736349106,0.046193502843379974,-0.08766987919807434,-0.002084501087665558,0.09540778398513794
fou_012,0.0016390177188441157,0.06383983790874481,0.05072484910488129,-0.10399530082941055,0.0028184503316879272,0.10750171542167664
fou_013,0.0008392107556574047,0.061995770782232285,0.04934457689523697,-0.100843146443367,0.0011493191123008728,0.10218033194541931
fou_014,0.003236881224438548,0.05106079578399658,0.03997091203927994,-0.08852411806583405,0.003116406500339508,0.08633982390165329
fou_015,-0.001188342459499836,0.04938587546348572,0.03791174292564392,-0.07790150493383408,-0.0005891434848308563,0.08204346150159836
fou_016,-0.00307015934959054,0.05351392552256584,0.04286493360996246,-0.09701471775770187,-0.0015135258436203003,0.07501876354217529
fou_017,0.0028356772381812334,0.05834464728832245,0.04551486670970917,-0.09459872543811798,0.00482570007443428,0.0966101661324501
fou_018,-0.0017365447711199522,0.05401655286550522,0.04296352341771126,-0.08878331631422043,-0.0021617263555526733,0.08390635251998901
fou_019,0.0009004257153719664,0.04781235381960869,0.03733494132757187,-0.08940083533525467,0.002644423395395279,0.07345690578222275
fou_020,-0.001884566736407578,0.04442160949110985,0.035427335649728775,-0.07697061449289322,0.0020278915762901306,0.06925956159830093
fou_021,0.0019666554871946573,0.048572029918432236,0.03878726065158844,-0.07155963778495789,0.0010276325047016144,0.07973914593458176
fou_022,-0.0013974031899124384,0.04686379432678223,0.037270329892635345,-0.08065449446439743,0.000206775963306427,0.07066204398870468
fou_023,-0.0002583380846772343,0.049419112503528595,0.03925180062651634,-0.08353662490844727,0.0002375878393650055,0.07340413331985474
fou_024,0.0026312340050935745,0.043925944715738297,0.03542591631412506,-0.0675772875547409,0.0017938651144504547,0.07220100611448288
fou_025,0.0006381628918461502,0.04468311369419098,0.034208718687295914,-0.06955201923847198,-0.0004138890653848648,0.06956315785646439
fou_026,0.000681757228448987,0.043479423969984055,0.03465678542852402,-0.07767736911773682,0.002579648047685623,0.06244882196187973
fou_027,0.0012959514278918505,0.04633960872888565,0.03720691055059433,-0.07835731655359268,0.00389055535197258,0.07214158773422241
fou_028,-0.0011243163608014584,0.04545268043875694,0.03528581187129021,-0.07775427401065826,0.0016565397381782532,0.06873831897974014
fou_029,0.0021990532986819744,0.0422951802611351,0.03368967026472092,-0.0691167563199997,0.0053696297109127045,0.06684400141239166
fou_030,-0.004027781076729298,0.04149702563881874,0.03338252007961273,-0.06971290707588196,-0.005859687924385071,0.0672062486410141
fou_031,-0.0018809260800480843,0.04084199666976929,0.03241293504834175,-0.07157586514949799,-0.0014163516461849213,0.057008761912584305
fou_032,0.0030589327216148376,0.04273450747132301,0.03330338001251221,-0.07577426731586456,0.0040444061160087585,0.06592702865600586
fou_033,0.0004965715343132615,0.040610115975141525,0.03224135562777519,-0.06963981688022614,0.004374409094452858,0.06217643618583679
fou_034,-0.0022986168041825294,0.0390922911465168,0.03127232939004898,-0.06825678050518036,-0.0037525370717048645,0.06342314928770065
fou_035,0.0009716845816001296,0.03984842076897621,0.031678806990385056,-0.06611594557762146,0.0006161853671073914,0.06252511590719223
fou_036,0.002591480500996113,0.039170488715171814,0.03170595318078995,-0.06208352744579315,0.00388186052441597,0.06449326872825623
fou_037,-0.0019293968798592687,0.0376473143696785,0.029273558408021927,-0.07010515034198761,0.00011471472680568695,0.05231550708413124
fou_038,-0.001607442507520318,0.03927353024482727,0.0310831218957901,-0.06918967515230179,0.00217602401971817,0.055467259138822556
