epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.0661371499300003,0.05084764212369919,positive_share
49,0,1,fac,216,0.8299852609634399,0.6381102800369263,positive_share
49,0,1,kar,64,0.18989506363868713,0.1459953486919403,positive_share
49,0,1,zer,47,0.10296830534934998,0.07916421443223953,positive_share
49,0,1,mor,6,0.11170677095651627,0.0858825296163559,positive_share
69,1,2,fou,76,0.08601800352334976,0.060740839689970016,positive_share
69,1,2,fac,216,0.9076435565948486,0.640924334526062,positive_share
69,1,2,kar,64,0.19069142639636993,0.13465504348278046,positive_share
69,1,2,zer,47,0.14805501699447632,0.10454772412776947,positive_share
69,1,2,mor,6,0.0837397500872612,0.05913207307457924,positive_share
89,2,3,fou,76,0.10837042331695557,0.07055380195379257,positive_share
89,2,3,fac,216,0.9792492985725403,0.6375333666801453,positive_share
89,2,3,kar,64,0.20063504576683044,0.1306220442056656,positive_share
89,2,3,zer,47,0.15257684886455536,0.09933408349752426,positive_share
89,2,3,mor,6,0.09516537189483643,0.061956748366355896,positive_share
109,3,4,fou,76,0.13492737710475922,0.07697556912899017,positive_share
109,3,4,fac,216,1.0919420719146729,0.622948944568634,positive_share
109,3,4,kar,64,0.26245149970054626,0.14972761273384094,positive_share
109,3,4,zer,47,0.18328237533569336,0.10456191748380661,positive_share
109,3,4,mor,6,0.08025632053613663,0.04578593373298645,positive_share
129,4,5,fou,76,0.14406944811344147,0.07738419622182846,positive_share
129,4,5,fac,216,1.1523422002792358,0.6189589500427246,positive_share
129,4,5,kar,64,0.279267817735672,0.15000346302986145,positive_share
129,4,5,zer,47,0.19434234499931335,0.10438733547925949,positive_share
129,4,5,mor,6,0.09172067046165466,0.0492660328745842,positive_share
169,5,6,fou,76,0.1703346073627472,0.08589078485965729,positive_share
169,5,6,fac,216,1.2023273706436157,0.6062704920768738,positive_share
169,5,6,kar,64,0.28322258591651917,0.1428142488002777,positive_share
169,5,6,zer,47,0.20773573219776154,0.10475020855665207,positive_share
169,5,6,mor,6,0.11953316628932953,0.060274288058280945,positive_share
