node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.2392723560333252,1.701432704925537,0.16563677787780762,32.0,0.0,1.0,0.16310830414295197,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.2032687664031982,1.6685068607330322,0.22065114974975586,32.0,0.0,1.0,0.07584106922149658,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.4960460960865021,0.2847042679786682,0.03864254057407379,32.0,0.0,1.0,0.03231985121965408,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.33656811714172363,0.13586677610874176,0.02258867770433426,32.0,0.0,1.0,0.012972979806363583,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-1.155165195465088,1.4605414867401123,0.12613487243652344,32.0,0.0,1.0,0.05758540332317352,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-1.1092472076416016,1.4064421653747559,0.17601275444030762,32.0,0.0,1.0,0.03442172706127167,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.2443556785583496,0.08417224138975143,0.024462543427944183,32.0,0.0,1.0,0.013459702022373676,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.18700069189071655,0.051810503005981445,0.01684124395251274,32.0,0.0,1.0,0.011338177137076855,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-1.2118173837661743,1.5773013830184937,0.10880005359649658,32.0,0.0,1.0,0.053553469479084015,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-1.1258376836776733,1.417475938796997,0.14996540546417236,32.0,0.0,1.0,0.031849801540374756,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.3261786699295044,0.13669273257255554,0.030300207436084747,32.0,0.0,1.0,0.014866909012198448,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.19467370212078094,0.04688046872615814,0.008982617408037186,32.0,0.0,1.0,0.008550196886062622,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-0.9071052074432373,0.8894978761672974,0.06665802001953125,32.0,0.0,1.0,0.0215675737708807,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-0.8137776851654053,0.7599467039108276,0.09771257638931274,32.0,0.0,1.0,0.025901876389980316,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.1074204221367836,0.020337531343102455,0.008798384107649326,32.0,0.0,1.0,0.00847236905246973,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.03333556652069092,0.004419893026351929,0.0033086328767240047,32.0,0.0,1.0,0.010164550505578518,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-1.1282782554626465,1.410999059677124,0.13798725605010986,32.0,0.0,1.0,0.06018427759408951,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-1.3274797201156616,2.0973281860351562,0.33512580394744873,32.0,0.0,1.0,0.047116972506046295,32,0.0,49,0,1
18,01001,2,0.20000000298023224,-0.3006647229194641,0.10709185153245926,0.01669257879257202,32.0,0.0,1.0,0.011292444542050362,32,0.0,49,0,1
19,11001,3,0.20000000298023224,-0.31289607286453247,0.12167423963546753,0.0237702876329422,32.0,0.0,1.0,0.013282140716910362,32,0.0,49,0,1
20,00101,2,0.20000000298023224,-1.1520109176635742,1.5797662734985352,0.2526371479034424,32.0,0.0,1.0,0.041041050106287,32,0.0,49,0,1
21,10101,3,0.20000000298023224,-1.0691512823104858,1.3892319202423096,0.2461475133895874,32.0,0.0,1.0,0.04052342474460602,32,0.0,49,0,1
22,01101,3,0.20000000298023224,-0.18066272139549255,0.048920974135398865,0.01628195494413376,32.0,0.0,1.0,0.011165063828229904,32,0.0,49,0,1
23,11101,4,0.4000000059604645,-0.09707356244325638,0.01436593197286129,0.004942655563354492,32.0,0.0,1.0,0.012201263569295406,32,0.0,49,0,1
24,00011,2,0.20000000298023224,-1.0926737785339355,1.3777467012405396,0.18381071090698242,32.0,0.0,1.0,0.03515405207872391,32,0.0,49,0,1
25,10011,3,0.20000000298023224,-1.0449730157852173,1.2613353729248047,0.169366717338562,32.0,0.0,1.0,0.03378467261791229,32,0.0,49,0,1
26,01011,3,0.20000000298023224,-0.23235101997852325,0.06261295080184937,0.008625954389572144,32.0,0.0,1.0,0.008398785255849361,32,0.0,49,0,1
27,11011,4,0.4000000059604645,-0.17182940244674683,0.03311547636985779,0.0035901330411434174,32.0,0.0,1.0,0.010546454228460789,32,0.0,49,0,1
28,00111,3,0.20000000298023224,-0.8494075536727905,0.8901107311248779,0.16861754655838013,32.0,0.0,1.0,0.033712081611156464,32,0.0,49,0,1
29,10111,4,0.4000000059604645,-0.7609549760818481,0.697955846786499,0.11890339851379395,32.0,0.0,1.0,0.05593940243124962,32,0.0,49,0,1
30,01111,4,0.4000000059604645,-0.04990370199084282,0.004816252738237381,0.0023258733563125134,32.0,0.0,1.0,0.008683867752552032,32,0.0,49,0,1
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974513,32,0.0,49,0,1
0,00000,0,1.0,-1.3045132160186768,1.888412356376648,0.18665766716003418,128.0,32.0,0.75,0.16045747697353363,96,0.0,69,1,2
1,10000,1,0.4000000059604645,-1.2475574016571045,1.7825356721878052,0.2261362075805664,192.0,32.0,0.8333333134651184,0.07120484113693237,160,0.0,69,1,2
2,01000,1,0.4000000059604645,-0.4545004963874817,0.2463453859090805,0.039774686098098755,64.0,32.0,0.5,0.03044322319328785,32,0.0,69,1,2
3,11000,2,0.20000000298023224,-0.3522672653198242,0.14773695170879364,0.023644722998142242,96.0,32.0,0.6666666865348816,0.012350606732070446,64,0.0,69,1,2
4,00100,1,0.4000000059604645,-1.164809226989746,1.5165201425552368,0.15973961353302002,64.0,32.0,0.5,0.06000492721796036,32,0.0,69,1,2
5,10100,2,0.20000000298023224,-1.10628342628479,1.467864990234375,0.24400198459625244,64.0,32.0,0.5,0.03746268153190613,32,0.0,69,1,2
6,01100,2,0.20000000298023224,-0.23561137914657593,0.08273649215698242,0.027223769575357437,64.0,32.0,0.5,0.013179406523704529,32,0.0,69,1,2
7,11100,3,0.20000000298023224,-0.15126445889472961,0.0368390828371048,0.013958146795630455,64.0,32.0,0.5,0.009720991365611553,32,0.0,69,1,2
8,00010,1,0.4000000059604645,-1.2293431758880615,1.6974775791168213,0.18619298934936523,128.0,32.0,0.75,0.0647035539150238,96,0.0,69,1,2
9,10010,2,0.20000000298023224,-1.0995233058929443,1.4027212858200073,0.19376981258392334,160.0,32.0,0.800000011920929,0.03349338844418526,128,0.0,69,1,2
10,01010,2,0.20000000298023224,-0.3295443654060364,0.13954347372055054,0.030943982303142548,64.0,32.0,0.5,0.013984943740069866,32,0.0,69,1,2
11,11010,3,0.20000000298023224,-0.19467370212078094,0.04688046872615814,0.008982617408037186,32.0,0.0,1.0,0.007996057160198689,0,0.0,69,1,2
12,00110,2,0.20000000298023224,-0.9835681319236755,1.0796034336090088,0.1121971607208252,128.0,32.0,0.75,0.02572537399828434,96,0.0,69,1,2
13,10110,3,0.20000000298023224,-0.855535626411438,0.8614670038223267,0.1295257806777954,64.0,32.0,0.5,0.02756623923778534,32,0.0,69,1,2
14,01110,3,0.20000000298023224,-0.1074204221367836,0.020337531343102455,0.008798384107649326,32.0,0.0,1.0,0.007923942059278488,0,0.0,69,1,2
15,11110,4,0.4000000059604645,-0.03333556652069092,0.004419893026351929,0.0033086328767240047,32.0,0.0,1.0,0.009491926990449429,0,0.0,69,1,2
16,00001,1,0.4000000059604645,-1.2309564352035522,1.7022101879119873,0.18695640563964844,128.0,32.0,0.75,0.06483402103185654,96,0.0,69,1,2
17,10001,2,0.20000000298023224,-1.1730238199234009,1.6442865133285522,0.2683016061782837,128.0,32.0,0.75,0.03923521563410759,96,0.0,69,1,2
18,01001,2,0.20000000298023224,-0.33060476183891296,0.1393890529870987,0.030089542269706726,64.0,32.0,0.5,0.013804416172206402,32,0.0,69,1,2
19,11001,3,0.20000000298023224,-0.31289607286453247,0.12167423963546753,0.0237702876329422,32.0,0.0,1.0,0.012380705215036869,0,0.0,69,1,2
20,00101,2,0.20000000298023224,-1.088986873626709,1.4069088697433472,0.22101640701293945,160.0,32.0,0.800000011920929,0.03570277616381645,128,0.0,69,1,2
21,10101,3,0.20000000298023224,-1.030417799949646,1.332088589668274,0.2703278064727783,96.0,32.0,0.6666666865348816,0.03937932476401329,64,0.0,69,1,2
22,01101,3,0.20000000298023224,-0.18066272139549255,0.048920974135398865,0.01628195494413376,32.0,0.0,1.0,0.010419009253382683,0,0.0,69,1,2
23,11101,4,0.4000000059604645,-0.09707356244325638,0.01436593197286129,0.004942655563354492,32.0,0.0,1.0,0.011379159055650234,0,0.0,69,1,2
24,00011,2,0.20000000298023224,-1.1577709913253784,1.52214777469635,0.18171405792236328,128.0,32.0,0.75,0.0324663370847702,96,0.0,69,1,2
25,10011,3,0.20000000298023224,-1.0462090969085693,1.3057072162628174,0.21115374565124512,96.0,32.0,0.6666666865348816,0.03491964563727379,64,0.0,69,1,2
26,01011,3,0.20000000298023224,-0.23235101997852325,0.06261295080184937,0.008625954389572144,32.0,0.0,1.0,0.007855759002268314,0,0.0,69,1,2
27,11011,4,0.4000000059604645,-0.17182940244674683,0.03311547636985779,0.0035901330411434174,32.0,0.0,1.0,0.009845802560448647,0,0.0,69,1,2
28,00111,3,0.20000000298023224,-0.9135801792144775,1.0058728456497192,0.1712440848350525,64.0,32.0,0.5,0.03154638037085533,32,0.0,69,1,2
29,10111,4,0.4000000059604645,-0.8021144866943359,0.8107807636260986,0.16739308834075928,160.0,32.0,0.800000011920929,0.061401914805173874,128,0.0,69,1,2
30,01111,4,0.4000000059604645,-0.04990370199084282,0.004816252738237381,0.0023258733563125134,32.0,0.0,1.0,0.0081199174746871,0,0.0,69,1,2
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974513,0,0.0,69,1,2
0,00000,0,1.0,-1.5067397356033325,2.675046443939209,0.4047818183898926,256.0,128.0,0.6363636255264282,0.2000953108072281,224,0.0,89,2,3
1,10000,1,0.4000000059604645,-1.356407642364502,2.197702407836914,0.3578606843948364,256.0,192.0,0.3333333432674408,0.07588028907775879,96,0.0,89,2,3
2,01000,1,0.4000000059604645,-0.4449699819087982,0.24350039660930634,0.045502111315727234,96.0,64.0,0.3333333432674408,0.02770092338323593,32,0.0,89,2,3
3,11000,2,0.20000000298023224,-0.3513724207878113,0.1494837999343872,0.026021219789981842,128.0,96.0,0.25,0.011095884256064892,32,0.0,89,2,3
4,00100,1,0.4000000059604645,-1.258091926574707,1.8761358261108398,0.2933405637741089,192.0,64.0,0.6666666865348816,0.06879483163356781,128,0.0,89,2,3
5,10100,2,0.20000000298023224,-1.1872988939285278,1.7736711502075195,0.36399245262145996,128.0,64.0,0.5,0.038759540766477585,64,0.0,89,2,3
6,01100,2,0.20000000298023224,-0.24508638679981232,0.08766435086727142,0.027597013860940933,96.0,64.0,0.3333333432674408,0.011397084221243858,32,0.0,89,2,3
7,11100,3,0.20000000298023224,-0.15126445889472961,0.0368390828371048,0.013958146795630455,64.0,32.0,0.5,0.008394254371523857,0,0.0,89,2,3
8,00010,1,0.4000000059604645,-1.2591395378112793,1.7800092697143555,0.19457685947418213,160.0,128.0,0.20000000298023224,0.05621487647294998,32,0.0,89,2,3
9,10010,2,0.20000000298023224,-1.0995233058929443,1.4027212858200073,0.19376981258392334,160.0,32.0,0.800000011920929,0.028550125658512115,0,0.0,89,2,3
10,01010,2,0.20000000298023224,-0.32131460309028625,0.134905606508255,0.031662531197071075,96.0,64.0,0.3333333432674408,0.012136618606746197,32,0.0,89,2,3
11,11010,3,0.20000000298023224,-0.19467370212078094,0.04688046872615814,0.008982617408037186,32.0,0.0,1.0,0.006931737996637821,0,0.0,89,2,3
