node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.7874908447265625,3.707984447479248,0.5128610134124756,32.0,0.0,1.0,0.19068846106529236,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.599869728088379,2.9164233207702637,0.3568401336669922,32.0,0.0,1.0,0.06429041922092438,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.7349227666854858,0.6375415921211243,0.09743010997772217,32.0,0.0,1.0,0.034071020781993866,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.6250024437904358,0.4539046883583069,0.06327661871910095,32.0,0.0,1.0,0.014325781725347042,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-1.504377841949463,2.756746768951416,0.4935941696166992,32.0,0.0,1.0,0.07543652504682541,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-1.4094343185424805,2.2399308681488037,0.2534257173538208,32.0,0.0,1.0,0.027668366208672523,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.4186357855796814,0.22760909795761108,0.05235317349433899,32.0,0.0,1.0,0.01312111597508192,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.23193298280239105,0.07262830436229706,0.018835395574569702,32.0,0.0,1.0,0.008270402438938618,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-1.5371500253677368,2.6338114738464355,0.2709813117980957,32.0,0.0,1.0,0.056153200566768646,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-1.2924015522003174,1.9729031324386597,0.30260133743286133,32.0,0.0,1.0,0.030141137540340424,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.5680869817733765,0.3732595443725586,0.05053672194480896,32.0,0.0,1.0,0.012908981181681156,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.3314788341522217,0.1254977434873581,0.015619523823261261,32.0,0.0,1.0,0.007620716001838446,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-1.3312333822250366,2.0891318321228027,0.3169494867324829,32.0,0.0,1.0,0.03082401305437088,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-1.1914455890655518,1.7307562828063965,0.31121373176574707,32.0,0.0,1.0,0.030552921816706657,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.24386891722679138,0.10122058540582657,0.0417485348880291,32.0,0.0,1.0,0.011824097484350204,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.12384791672229767,0.03275011479854584,0.017411809414625168,32.0,0.0,1.0,0.01498051080852747,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-1.6951600313186646,3.323406934738159,0.44983935356140137,32.0,0.0,1.0,0.07206075638532639,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-1.3474085330963135,2.098440647125244,0.282930850982666,32.0,0.0,1.0,0.029178068041801453,32,0.0,49,0,1
18,01001,2,0.20000000298023224,-0.5724704265594482,0.41163355112075806,0.08391115069389343,32.0,0.0,1.0,0.016345495358109474,32,0.0,49,0,1
19,11001,3,0.20000000298023224,-0.4214826226234436,0.21868807077407837,0.041040465235710144,32.0,0.0,1.0,0.011731915175914764,32,0.0,49,0,1
20,00101,2,0.20000000298023224,-1.160245656967163,1.617307186126709,0.2711372375488281,32.0,0.0,1.0,0.02858453243970871,32,0.0,49,0,1
21,10101,3,0.20000000298023224,-1.0461231470108032,1.376259207725525,0.28188562393188477,32.0,0.0,1.0,0.02912597358226776,32,0.0,49,0,1
22,01101,3,0.20000000298023224,-0.2914756238460541,0.1115684062242508,0.026610367000102997,32.0,0.0,1.0,0.009641647338867188,32,0.0,49,0,1
23,11101,4,0.4000000059604645,-0.21321773529052734,0.06376392394304276,0.01830212026834488,32.0,0.0,1.0,0.015333483926951885,32,0.0,49,0,1
24,00011,2,0.20000000298023224,-1.5050922632217407,2.564767360687256,0.29946470260620117,32.0,0.0,1.0,0.029989711940288544,32,0.0,49,0,1
25,10011,3,0.20000000298023224,-1.3705190420150757,2.092190742492676,0.21386826038360596,32.0,0.0,1.0,0.02549877017736435,32,0.0,49,0,1
26,01011,3,0.20000000298023224,-0.39730727672576904,0.19057446718215942,0.03272140026092529,32.0,0.0,1.0,0.010582680813968182,32,0.0,49,0,1
27,11011,4,0.4000000059604645,-0.23569735884666443,0.062373146414756775,0.0068199001252651215,32.0,0.0,1.0,0.00974963791668415,32,0.0,49,0,1
28,00111,3,0.20000000298023224,-1.2224335670471191,1.7049297094345093,0.2105858325958252,32.0,0.0,1.0,0.025310037657618523,32,0.0,49,0,1
29,10111,4,0.4000000059604645,-1.0352497100830078,1.2938685417175293,0.22212660312652588,32.0,0.0,1.0,0.050934575498104095,32,0.0,49,0,1
30,01111,4,0.4000000059604645,-0.11866887658834457,0.02496972307562828,0.010887420736253262,32.0,0.0,1.0,0.012055122293531895,32,0.0,49,0,1
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974513,32,0.0,49,0,1
0,00000,0,1.0,-1.6662476062774658,3.1921238899230957,0.4157428741455078,224.0,32.0,0.8571428656578064,0.17331889271736145,192,0.0,69,1,2
1,10000,1,0.4000000059604645,-1.598144769668579,2.955535888671875,0.40146923065185547,128.0,32.0,0.75,0.06873398274183273,96,0.0,69,1,2
2,01000,1,0.4000000059604645,-0.7183487415313721,0.6582996249198914,0.14227473735809326,128.0,32.0,0.75,0.04132221266627312,96,0.0,69,1,2
3,11000,2,0.20000000298023224,-0.5868101119995117,0.4158676862716675,0.0715215802192688,96.0,32.0,0.6666666865348816,0.01529450248926878,64,0.0,69,1,2
4,00100,1,0.4000000059604645,-1.4723140001296997,2.5739991664886475,0.40629076957702637,192.0,32.0,0.8333333134651184,0.0691395029425621,160,0.0,69,1,2
5,10100,2,0.20000000298023224,-1.437646746635437,2.4429502487182617,0.37612199783325195,96.0,32.0,0.6666666865348816,0.03378044441342354,64,0.0,69,1,2
6,01100,2,0.20000000298023224,-0.49162617325782776,0.34990179538726807,0.10820549726486206,64.0,32.0,0.5,0.018582278862595558,32,0.0,69,1,2
7,11100,3,0.20000000298023224,-0.23193298280239105,0.07262830436229706,0.018835395574569702,32.0,0.0,1.0,0.008335636928677559,0,0.0,69,1,2
8,00010,1,0.4000000059604645,-1.4720468521118164,2.4555323123931885,0.28861045837402344,160.0,32.0,0.800000011920929,0.058429695665836334,128,0.0,69,1,2
9,10010,2,0.20000000298023224,-1.262507438659668,1.8336987495422363,0.23977375030517578,96.0,32.0,0.6666666865348816,0.027172867208719254,64,0.0,69,1,2
10,01010,2,0.20000000298023224,-0.4739769399166107,0.278525710105896,0.05387157201766968,64.0,32.0,0.5,0.013405957259237766,32,0.0,69,1,2
11,11010,3,0.20000000298023224,-0.3314788341522217,0.1254977434873581,0.015619523823261261,32.0,0.0,1.0,0.007680121809244156,0,0.0,69,1,2
12,00110,2,0.20000000298023224,-1.3082748651504517,1.9190471172332764,0.20746397972106934,128.0,32.0,0.75,0.02534567564725876,96,0.0,69,1,2
13,10110,3,0.20000000298023224,-1.0679131746292114,1.3621864318847656,0.22174787521362305,96.0,32.0,0.6666666865348816,0.026169825345277786,64,0.0,69,1,2
14,01110,3,0.20000000298023224,-0.24427489936351776,0.09955380111932755,0.0398835763335228,96.0,32.0,0.6666666865348816,0.011674500070512295,64,0.0,69,1,2
15,11110,4,0.4000000059604645,-0.12384791672229767,0.03275011479854584,0.017411809414625168,32.0,0.0,1.0,0.015105954371392727,0,0.0,69,1,2
16,00001,1,0.4000000059604645,-1.6475387811660767,3.1534619331359863,0.43907785415649414,64.0,32.0,0.5,0.07183554768562317,32,0.0,69,1,2
17,10001,2,0.20000000298023224,-1.3793556690216064,2.192986011505127,0.2903639078140259,96.0,32.0,0.6666666865348816,0.02980194427073002,64,0.0,69,1,2
18,01001,2,0.20000000298023224,-0.5783016085624695,0.39546453952789307,0.06103178858757019,64.0,32.0,0.5,0.014204699546098709,32,0.0,69,1,2
