node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-0.9645704627037048,1.1147099733352661,0.18431377410888672,32.0,0.0,1.0,0.1583007574081421,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.173506736755371,1.6690101623535156,0.29189205169677734,32.0,0.0,1.0,0.08018137514591217,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.46323758363723755,0.26683902740478516,0.0522499680519104,32.0,0.0,1.0,0.03450077772140503,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.3312188982963562,0.14998027682304382,0.04027431458234787,32.0,0.0,1.0,0.015706049278378487,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-0.6756324172019958,0.5896663665771484,0.1331872045993805,32.0,0.0,1.0,0.05448637157678604,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-0.6979843378067017,0.6573365926742554,0.17015445232391357,32.0,0.0,1.0,0.0312275942414999,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.15048807859420776,0.033667609095573425,0.011020947247743607,32.0,0.0,1.0,0.008692923001945019,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.14285410940647125,0.031996406614780426,0.011589109897613525,32.0,0.0,1.0,0.008888727985322475,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-0.8222562074661255,0.8465957641601562,0.17049050331115723,32.0,0.0,1.0,0.061514854431152344,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-0.6647762060165405,0.5731780529022217,0.13125064969062805,32.0,0.0,1.0,0.02754805237054825,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.2808458209037781,0.09249766170978546,0.01362328976392746,32.0,0.0,1.0,0.009553087875247002,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.20715174078941345,0.05054022744297981,0.007628384977579117,32.0,0.0,1.0,0.007400268688797951,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-0.7921919822692871,0.8638418912887573,0.23627376556396484,32.0,0.0,1.0,0.036619652062654495,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-0.5310243368148804,0.36136624217033386,0.07937940955162048,32.0,0.0,1.0,0.02164599858224392,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.064411461353302,0.007812795229256153,0.0036639589816331863,32.0,0.0,1.0,0.005435649771243334,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.016231071203947067,0.0011110930936411023,0.0008476454531773925,32.0,0.0,1.0,0.00526696490123868,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-0.8555962443351746,1.0202488899230957,0.2882039546966553,32.0,0.0,1.0,0.07967955619096756,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-0.831512987613678,1.0542972087860107,0.36288338899612427,32.0,0.0,1.0,0.04514336585998535,32,0.0,49,0,1
18,01001,2,0.20000000298023224,-0.40473949909210205,0.19681793451309204,0.03300386667251587,32.0,0.0,1.0,0.014312644489109516,32,0.0,49,0,1
19,11001,3,0.20000000298023224,-0.2943107485771179,0.11976397037506104,0.033145152032375336,32.0,0.0,1.0,0.014341108500957489,32,0.0,49,0,1
20,00101,2,0.20000000298023224,-0.6944048404693604,0.6822022199630737,0.20000413060188293,32.0,0.0,1.0,0.03377188369631767,32,0.0,49,0,1
21,10101,3,0.20000000298023224,-0.6114048957824707,0.49929964542388916,0.1254836916923523,32.0,0.0,1.0,0.02695825882256031,32,0.0,49,0,1
22,01101,3,0.20000000298023224,-0.1813220977783203,0.04563019424676895,0.012752491980791092,32.0,0.0,1.0,0.009275217540562153,32,0.0,49,0,1
23,11101,4,0.4000000059604645,-0.08865250647068024,0.014848233200609684,0.006988965906202793,32.0,0.0,1.0,0.013252321630716324,32,0.0,49,0,1
24,00011,2,0.20000000298023224,-0.7519963979721069,0.7182334065437317,0.15273481607437134,32.0,0.0,1.0,0.029638543725013733,32,0.0,49,0,1
25,10011,3,0.20000000298023224,-1.0159690380096436,1.4563570022583008,0.42416393756866455,32.0,0.0,1.0,0.04872531071305275,32,0.0,49,0,1
26,01011,3,0.20000000298023224,-0.2530876398086548,0.08626081049442291,0.022207453846931458,32.0,0.0,1.0,0.011920218355953693,32,0.0,49,0,1
