epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.009164724498987198,0.009501352906227112,positive_share
49,0,1,fac,216,0.5738539695739746,0.5949320793151855,positive_share
49,0,1,kar,64,0.23190054297447205,0.2404184490442276,positive_share
49,0,1,zer,47,0.10793304443359375,0.11189751327037811,positive_share
49,0,1,mor,6,0.04171821475028992,0.04325056076049805,positive_share
69,1,2,fou,76,0.058989375829696655,0.06186976656317711,positive_share
69,1,2,fac,216,0.5495566129684448,0.5763909220695496,positive_share
69,1,2,kar,64,0.2038087248802185,0.21376049518585205,positive_share
69,1,2,zer,47,0.11867570877075195,0.12447051703929901,positive_share
69,1,2,mor,6,0.02241390384733677,0.023508351296186447,positive_share
89,2,3,fou,76,0.05106509104371071,0.056139323860406876,positive_share
89,2,3,fac,216,0.5248416066169739,0.5769940614700317,positive_share
89,2,3,kar,64,0.20171278715133667,0.22175657749176025,positive_share
89,2,3,zer,47,0.12884847819805145,0.14165188372135162,positive_share
89,2,3,mor,6,0.0031455664429813623,0.00345813506282866,positive_share
109,3,4,fou,76,0.039661623537540436,0.04584776610136032,positive_share
109,3,4,fac,216,0.5285768508911133,0.611020565032959,positive_share
109,3,4,kar,64,0.18334539234638214,0.21194231510162354,positive_share
109,3,4,zer,47,0.11348822712898254,0.13118931651115417,positive_share
109,3,4,mor,6,-0.00304146739654243,0.0,positive_share
129,4,5,fou,76,0.03655723109841347,0.04321634769439697,positive_share
129,4,5,fac,216,0.5212328433990479,0.6161785125732422,positive_share
129,4,5,kar,64,0.1763463169336319,0.20846883952617645,positive_share
129,4,5,zer,47,0.11177566647529602,0.132136270403862,positive_share
129,4,5,mor,6,-0.0012585881631821394,0.0,positive_share
169,5,6,fou,76,0.036060791462659836,0.04261248558759689,positive_share
169,5,6,fac,216,0.5206478238105774,0.615241527557373,positive_share
169,5,6,kar,64,0.1704082489013672,0.2013688087463379,positive_share
169,5,6,zer,47,0.11568018049001694,0.13669750094413757,positive_share
169,5,6,mor,6,0.0034524386283010244,0.004079693928360939,positive_share
