epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.08739129453897476,0.08700337260961533,positive_share
49,0,1,fac,216,0.5636113286018372,0.5611095428466797,positive_share
49,0,1,kar,64,0.1747148185968399,0.1739392876625061,positive_share
49,0,1,zer,47,0.13570177555084229,0.1350994110107422,positive_share
49,0,1,mor,6,0.04303944110870361,0.04284839332103729,positive_share
69,1,2,fou,76,0.06107647716999054,0.06536591053009033,positive_share
69,1,2,fac,216,0.5598061680793762,0.599121630191803,positive_share
69,1,2,kar,64,0.1773730218410492,0.189830020070076,positive_share
69,1,2,zer,47,0.12482273578643799,0.13358910381793976,positive_share
69,1,2,mor,6,0.011299711652100086,0.012093296274542809,positive_share
89,2,3,fou,76,0.07117974013090134,0.07509831339120865,positive_share
89,2,3,fac,216,0.546177327632904,0.5762453675270081,positive_share
89,2,3,kar,64,0.18112292885780334,0.19109408557415009,positive_share
89,2,3,zer,47,0.13483662903308868,0.1422596275806427,positive_share
89,2,3,mor,6,0.0145041448995471,0.015302624553442001,positive_share
109,3,4,fou,76,0.06316692382097244,0.07185100764036179,positive_share
109,3,4,fac,216,0.5256242752075195,0.5978862047195435,positive_share
109,3,4,kar,64,0.16740307211875916,0.1904173642396927,positive_share
109,3,4,zer,47,0.1207893043756485,0.1373952180147171,positive_share
109,3,4,mor,6,0.0021540725138038397,0.002450210740789771,positive_share
129,4,5,fou,76,0.04984208941459656,0.06193286553025246,positive_share
129,4,5,fac,216,0.503698468208313,0.6258864998817444,positive_share
129,4,5,kar,64,0.1524955928325653,0.1894882321357727,positive_share
129,4,5,zer,47,0.09832630306482315,0.12217846512794495,positive_share
129,4,5,mor,6,0.00041356682777404785,0.0005138905835337937,positive_share
169,5,6,fou,76,0.05687396228313446,0.06690092384815216,positive_share
169,5,6,fac,216,0.5158161520957947,0.606755256652832,positive_share
169,5,6,kar,64,0.16472385823726654,0.19376489520072937,positive_share
169,5,6,zer,47,0.10930902510881424,0.12858036160469055,positive_share
169,5,6,mor,6,0.0033992778044193983,0.0039985752664506435,positive_share
