epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.10767383128404617,0.07366613298654556,positive_share
49,0,1,fac,216,0.9233775734901428,0.631738007068634,positive_share
49,0,1,kar,64,0.18994729220867157,0.12995435297489166,positive_share
49,0,1,zer,47,0.16035287082195282,0.10970702767372131,positive_share
49,0,1,mor,6,0.08029478043317795,0.05493447929620743,positive_share
69,1,2,fou,76,0.1453682780265808,0.08804778009653091,positive_share
69,1,2,fac,216,0.9724222421646118,0.5889841914176941,positive_share
69,1,2,kar,64,0.22426925599575043,0.135837122797966,positive_share
69,1,2,zer,47,0.199189230799675,0.12064646929502487,positive_share
69,1,2,mor,6,0.1097669005393982,0.06648445874452591,positive_share
89,2,3,fou,76,0.14012593030929565,0.08351773768663406,positive_share
89,2,3,fac,216,1.0128867626190186,0.6036998629570007,positive_share
89,2,3,kar,64,0.21699391305446625,0.1293325275182724,positive_share
89,2,3,zer,47,0.18921369314193726,0.11277498304843903,positive_share
89,2,3,mor,6,0.11857820302248001,0.07067487388849258,positive_share
109,3,4,fou,76,0.1161222979426384,0.06894347816705704,positive_share
109,3,4,fac,216,1.0402501821517944,0.6176115274429321,positive_share
109,3,4,kar,64,0.22076471149921417,0.13107119500637054,positive_share
109,3,4,zer,47,0.18572142720222473,0.11026548594236374,positive_share
109,3,4,mor,6,0.12145289778709412,0.07210833579301834,positive_share
129,4,5,fou,76,0.10548616945743561,0.05949224904179573,positive_share
129,4,5,fac,216,1.0917980670928955,0.6157539486885071,positive_share
129,4,5,kar,64,0.23849521577358246,0.13450689613819122,positive_share
129,4,5,zer,47,0.18458998203277588,0.10410533845424652,positive_share
129,4,5,mor,6,0.1527383029460907,0.08614157885313034,positive_share
169,5,6,fou,76,0.11850563436746597,0.06375095248222351,positive_share
169,5,6,fac,216,1.1455926895141602,0.6162797212600708,positive_share
169,5,6,kar,64,0.23695746064186096,0.12747295200824738,positive_share
169,5,6,zer,47,0.18289265036582947,0.09838840365409851,positive_share
169,5,6,mor,6,0.1749357432126999,0.09410792589187622,positive_share
