epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.015455879271030426,0.010394209995865822,positive_share
49,0,1,fac,216,0.911357045173645,0.6128953695297241,positive_share
49,0,1,kar,64,0.2591312825679779,0.1742679923772812,positive_share
49,0,1,zer,47,0.16224107146263123,0.10910850018262863,positive_share
49,0,1,mor,6,0.1387847512960434,0.09333392232656479,positive_share
69,1,2,fou,76,0.07970044761896133,0.05156504735350609,positive_share
69,1,2,fac,216,0.9593256115913391,0.620669960975647,positive_share
69,1,2,kar,64,0.2360646277666092,0.15273043513298035,positive_share
69,1,2,zer,47,0.1683303266763687,0.1089073121547699,positive_share
69,1,2,mor,6,0.10220824182033539,0.06612727046012878,positive_share
89,2,3,fou,76,0.09706532955169678,0.05989675968885422,positive_share
89,2,3,fac,216,1.0210866928100586,0.6300888657569885,positive_share
89,2,3,kar,64,0.22450952231884003,0.1385396122932434,positive_share
89,2,3,zer,47,0.1790500283241272,0.11048761010169983,positive_share
89,2,3,mor,6,0.09883246570825577,0.060987215489149094,positive_share
109,3,4,fou,76,0.11513081192970276,0.0654473751783371,positive_share
109,3,4,fac,216,1.0997884273529053,0.6251868605613708,positive_share
109,3,4,kar,64,0.2503897547721863,0.14233681559562683,positive_share
109,3,4,zer,47,0.1965869516134262,0.11175201833248138,positive_share
109,3,4,mor,6,0.09723959863185883,0.05527691915631294,positive_share
129,4,5,fou,76,0.13213835656642914,0.07014530152082443,positive_share
129,4,5,fac,216,1.1558496952056885,0.6135798096656799,positive_share
129,4,5,kar,64,0.26995351910591125,0.14330412447452545,positive_share
129,4,5,zer,47,0.2143993377685547,0.11381333321332932,positive_share
129,4,5,mor,6,0.11143957078456879,0.05915740877389908,positive_share
169,5,6,fou,76,0.11519443243741989,0.05751412734389305,positive_share
169,5,6,fac,216,1.2106835842132568,0.6044685244560242,positive_share
169,5,6,kar,64,0.29566437005996704,0.14761891961097717,positive_share
169,5,6,zer,47,0.24926085770130157,0.12445063889026642,positive_share
169,5,6,mor,6,0.13208602368831635,0.06594773381948471,positive_share
