epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.05423372983932495,0.051444247364997864,positive_share
49,0,1,fac,216,0.5737913846969604,0.5442787408828735,positive_share
49,0,1,kar,64,0.25341328978538513,0.24037910997867584,positive_share
49,0,1,zer,47,0.14238287508487701,0.13505949079990387,positive_share
49,0,1,mor,6,0.030402177944779396,0.02883845753967762,positive_share
69,1,2,fou,76,0.04423779249191284,0.04752829298377037,positive_share
69,1,2,fac,216,0.5742183327674866,0.6169298887252808,positive_share
69,1,2,kar,64,0.1795990765094757,0.1929580420255661,positive_share
69,1,2,zer,47,0.12195876240730286,0.13103032112121582,positive_share
69,1,2,mor,6,0.01075364276766777,0.011553521268069744,positive_share
89,2,3,fou,76,0.055663593113422394,0.05879369005560875,positive_share
89,2,3,fac,216,0.5408452153205872,0.5712582468986511,positive_share
89,2,3,kar,64,0.19588115811347961,0.20689602196216583,positive_share
89,2,3,zer,47,0.13567909598350525,0.14330865442752838,positive_share
89,2,3,mor,6,0.01869233138859272,0.01974344626069069,positive_share
109,3,4,fou,76,0.05078006163239479,0.05634898692369461,positive_share
109,3,4,fac,216,0.5496731996536255,0.6099545359611511,positive_share
109,3,4,kar,64,0.17588257789611816,0.19517119228839874,positive_share
109,3,4,zer,47,0.12398147583007812,0.13757821917533875,positive_share
109,3,4,mor,6,0.0008534627268090844,0.0009470598888583481,positive_share
129,4,5,fou,76,0.033426932990550995,0.0401129387319088,positive_share
129,4,5,fac,216,0.5313812494277954,0.6376672983169556,positive_share
129,4,5,kar,64,0.16409260034561157,0.19691415131092072,positive_share
129,4,5,zer,47,0.10441970080137253,0.12530557811260223,positive_share
129,4,5,mor,6,-0.011582683771848679,0.0,positive_share
169,5,6,fou,76,0.025097975507378578,0.030660878866910934,positive_share
169,5,6,fac,216,0.5339646935462952,0.6523166298866272,positive_share
169,5,6,kar,64,0.1565074771642685,0.1911969631910324,positive_share
169,5,6,zer,47,0.10299661010503769,0.12582555413246155,positive_share
169,5,6,mor,6,-0.011912268586456776,0.0,positive_share
