epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.04242744669318199,0.040189228951931,positive_share
49,0,1,fac,216,0.6156876087188721,0.5832076072692871,positive_share
49,0,1,kar,64,0.20117983222007751,0.1905667930841446,positive_share
49,0,1,zer,47,0.1963970810174942,0.1860363483428955,positive_share
49,0,1,mor,6,-0.002539779059588909,0.0,positive_share
69,1,2,fou,76,0.06430773437023163,0.067055344581604,positive_share
69,1,2,fac,216,0.579969048500061,0.6047487854957581,positive_share
69,1,2,kar,64,0.16997122764587402,0.17723339796066284,positive_share
69,1,2,zer,47,0.135833278298378,0.14163687825202942,positive_share
69,1,2,mor,6,0.008943523280322552,0.009325643070042133,positive_share
89,2,3,fou,76,0.06736589968204498,0.07386969774961472,positive_share
89,2,3,fac,216,0.5539692044258118,0.6074517965316772,positive_share
89,2,3,kar,64,0.16966843605041504,0.1860489547252655,positive_share
89,2,3,zer,47,0.11350661516189575,0.12446503341197968,positive_share
89,2,3,mor,6,0.007445662748068571,0.008164498955011368,positive_share
109,3,4,fou,76,0.05716162547469139,0.06199222058057785,positive_share
109,3,4,fac,216,0.5644571781158447,0.6121581196784973,positive_share
109,3,4,kar,64,0.17671599984169006,0.19164985418319702,positive_share
109,3,4,zer,47,0.11206111311912537,0.12153113633394241,positive_share
109,3,4,mor,6,0.011681534349918365,0.012668712995946407,positive_share
129,4,5,fou,76,0.05024993419647217,0.056342050433158875,positive_share
129,4,5,fac,216,0.5511289238929749,0.6179457902908325,positive_share
129,4,5,kar,64,0.16727297008037567,0.1875525265932083,positive_share
129,4,5,zer,47,0.12112173438072205,0.13580608367919922,positive_share
129,4,5,mor,6,0.002099101897329092,0.0023535892833024263,positive_share
169,5,6,fou,76,0.05032791942358017,0.057667963206768036,positive_share
169,5,6,fac,216,0.5481931567192078,0.6281440258026123,positive_share
169,5,6,kar,64,0.17023733258247375,0.1950654834508896,positive_share
169,5,6,zer,47,0.10396046936511993,0.11912252008914948,positive_share
169,5,6,mor,6,-0.003155861981213093,0.0,positive_share
