epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.1247008666396141,0.08075542747974396,positive_share
49,0,1,fac,216,0.936823308467865,0.6066803932189941,positive_share
49,0,1,kar,64,0.20348034799098969,0.1317724883556366,positive_share
49,0,1,zer,47,0.17654447257518768,0.11432899534702301,positive_share
49,0,1,mor,6,0.10263041406869888,0.06646275520324707,positive_share
69,1,2,fou,76,0.11806079745292664,0.07447575777769089,positive_share
69,1,2,fac,216,0.9842059016227722,0.6208621263504028,positive_share
69,1,2,kar,64,0.2096247375011444,0.13223662972450256,positive_share
69,1,2,zer,47,0.16942350566387177,0.1068766638636589,positive_share
69,1,2,mor,6,0.10390964895486832,0.0655488520860672,positive_share
89,2,3,fou,76,0.12223632633686066,0.07245355099439621,positive_share
89,2,3,fac,216,1.060792326927185,0.6287670135498047,positive_share
89,2,3,kar,64,0.244985431432724,0.14521104097366333,positive_share
89,2,3,zer,47,0.14752885699272156,0.08744527399539948,positive_share
89,2,3,mor,6,0.11155623942613602,0.0661231055855751,positive_share
109,3,4,fou,76,0.1567448079586029,0.07925814390182495,positive_share
109,3,4,fac,216,1.1827905178070068,0.5980789661407471,positive_share
109,3,4,kar,64,0.3026423156261444,0.1530313342809677,positive_share
109,3,4,zer,47,0.22424428164958954,0.11338930577039719,positive_share
109,3,4,mor,6,0.1112273558974266,0.0562422052025795,positive_share
129,4,5,fou,76,0.1508774608373642,0.07321713119745255,positive_share
129,4,5,fac,216,1.2447128295898438,0.6040286421775818,positive_share
129,4,5,kar,64,0.3154684603214264,0.15308910608291626,positive_share
129,4,5,zer,47,0.21892093122005463,0.10623696446418762,positive_share
129,4,5,mor,6,0.13070549070835114,0.06342817097902298,positive_share
169,5,6,fou,76,0.18018729984760284,0.08335742354393005,positive_share
169,5,6,fac,216,1.3147752285003662,0.6082352995872498,positive_share
169,5,6,kar,64,0.31819847226142883,0.14720351994037628,positive_share
169,5,6,zer,47,0.23263126611709595,0.10761880874633789,positive_share
169,5,6,mor,6,0.11583063006401062,0.05358503386378288,positive_share
