epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.1252867877483368,0.09188566356897354,positive_share
49,0,1,fac,216,0.8258506059646606,0.6056810021400452,positive_share
49,0,1,kar,64,0.21540462970733643,0.15797832608222961,positive_share
49,0,1,zer,47,0.14122274518013,0.10357313603162766,positive_share
49,0,1,mor,6,0.0557427778840065,0.04088190197944641,positive_share
69,1,2,fou,76,0.10664347559213638,0.0749230682849884,positive_share
69,1,2,fac,216,0.8844456672668457,0.6213730573654175,positive_share
69,1,2,kar,64,0.22710052132606506,0.15955094993114471,positive_share
69,1,2,zer,47,0.1442612111568451,0.10135164856910706,positive_share
69,1,2,mor,6,0.06092224270105362,0.04280131682753563,positive_share
89,2,3,fou,76,0.09555885195732117,0.062112972140312195,positive_share
89,2,3,fac,216,0.9338112473487854,0.6069746017456055,positive_share
89,2,3,kar,64,0.25088581442832947,0.1630750447511673,positive_share
89,2,3,zer,47,0.1833995133638382,0.11920914798974991,positive_share
89,2,3,mor,6,0.07481296360492706,0.04862820729613304,positive_share
109,3,4,fou,76,0.1061476618051529,0.06041835620999336,positive_share
109,3,4,fac,216,1.0500181913375854,0.597661554813385,positive_share
109,3,4,kar,64,0.279282808303833,0.15896542370319366,positive_share
109,3,4,zer,47,0.23057538270950317,0.131241574883461,positive_share
109,3,4,mor,6,0.09085361659526825,0.051713116466999054,positive_share
129,4,5,fou,76,0.12051231414079666,0.06406429409980774,positive_share
129,4,5,fac,216,1.129210352897644,0.6002877354621887,positive_share
129,4,5,kar,64,0.286865234375,0.15249742567539215,positive_share
129,4,5,zer,47,0.2368718981742859,0.12592099606990814,positive_share
129,4,5,mor,6,0.1076553612947464,0.05722954124212265,positive_share
169,5,6,fou,76,0.12161929160356522,0.06236156076192856,positive_share
169,5,6,fac,216,1.2032395601272583,0.6169736385345459,positive_share
169,5,6,kar,64,0.29023030400276184,0.14881861209869385,positive_share
169,5,6,zer,47,0.24031902849674225,0.1232260912656784,positive_share
169,5,6,mor,6,0.09482037276029587,0.048620134592056274,positive_share
