epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.17587335407733917,0.10636603087186813,positive_share
49,0,1,fac,216,0.92015540599823,0.556498646736145,positive_share
49,0,1,kar,64,0.2791951894760132,0.16885380446910858,positive_share
49,0,1,zer,47,0.20451512932777405,0.1236882284283638,positive_share
49,0,1,mor,6,0.0737338587641716,0.04459332674741745,positive_share
69,1,2,fou,76,0.15659740567207336,0.09516999125480652,positive_share
69,1,2,fac,216,0.9470004439353943,0.5755269527435303,positive_share
69,1,2,kar,64,0.24366100132465363,0.1480817347764969,positive_share
69,1,2,zer,47,0.20555347204208374,0.12492238730192184,positive_share
69,1,2,mor,6,0.09263712167739868,0.05629897862672806,positive_share
89,2,3,fou,76,0.1667286455631256,0.10072532296180725,positive_share
89,2,3,fac,216,0.9553657174110413,0.577162504196167,positive_share
89,2,3,kar,64,0.23343193531036377,0.14102259278297424,positive_share
89,2,3,zer,47,0.19408029317855835,0.11724919825792313,positive_share
89,2,3,mor,6,0.10567378997802734,0.06384041905403137,positive_share
109,3,4,fou,76,0.16379684209823608,0.09654224663972855,positive_share
109,3,4,fac,216,0.9985817074775696,0.5885664224624634,positive_share
109,3,4,kar,64,0.23354963958263397,0.13765470683574677,positive_share
109,3,4,zer,47,0.19641253352165222,0.1157660111784935,positive_share
109,3,4,mor,6,0.10429307073354721,0.06147058308124542,positive_share
129,4,5,fou,76,0.15792232751846313,0.09136293828487396,positive_share
129,4,5,fac,216,1.062072992324829,0.614441990852356,positive_share
129,4,5,kar,64,0.21700932085514069,0.12554658949375153,positive_share
129,4,5,zer,47,0.20924526453018188,0.12105483561754227,positive_share
129,4,5,mor,6,0.0822664424777031,0.04759367182850838,positive_share
169,5,6,fou,76,0.16831570863723755,0.09377526491880417,positive_share
169,5,6,fac,216,1.0860223770141602,0.6050655245780945,positive_share
169,5,6,kar,64,0.252514511346817,0.14068570733070374,positive_share
169,5,6,zer,47,0.2169562578201294,0.1208748146891594,positive_share
169,5,6,mor,6,0.07107505202293396,0.03959869220852852,positive_share
