node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.5127265453338623,2.516730785369873,0.22838926315307617,32.0,0.0,1.0,0.133347749710083,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.417978048324585,2.4185070991516113,0.40784525871276855,32.0,0.0,1.0,0.07174348086118698,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.6671239137649536,0.5443152785301208,0.09926095604896545,32.0,0.0,1.0,0.03590020164847374,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.5684735774993896,0.4067692160606384,0.083607017993927,32.0,0.0,1.0,0.017015116289258003,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-1.3650550842285156,2.203005313873291,0.3396298885345459,32.0,0.0,1.0,0.06555675715208054,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-1.3173329830169678,2.250608205795288,0.5152419805526733,32.0,0.0,1.0,0.04075706750154495,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.4424932897090912,0.2789629101753235,0.08316260576248169,32.0,0.0,1.0,0.0169724952429533,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.3393857777118683,0.18878555297851562,0.07360284775495529,32.0,0.0,1.0,0.016026437282562256,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-1.4307336807250977,2.390657424926758,0.343658447265625,32.0,0.0,1.0,0.06593849509954453,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-1.3188835382461548,2.0063443183898926,0.2668905258178711,32.0,0.0,1.0,0.029613785445690155,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.49750879406929016,0.3022977113723755,0.054782718420028687,32.0,0.0,1.0,0.013963745906949043,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.3523213267326355,0.15633364021778107,0.032203324139118195,32.0,0.0,1.0,0.01093937549740076,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-1.1252565383911133,1.4658972024917603,0.19969487190246582,32.0,0.0,1.0,0.025750968605279922,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-1.0348834991455078,1.3187562227249146,0.24777233600616455,32.0,0.0,1.0,0.028569895774126053,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.26412320137023926,0.12704618275165558,0.057285115122795105,32.0,0.0,1.0,0.014256522990763187,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.12441933155059814,0.042160820215940475,0.02668065018951893,32.0,0.0,1.0,0.01909409835934639,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-1.3576306104660034,2.112712860107422,0.26955199241638184,32.0,0.0,1.0,0.05851219967007637,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-1.5246154069900513,2.5790772438049316,0.2546250820159912,32.0,0.0,1.0,0.028948551043868065,32,0.0,49,0,1
18,01001,2,0.20000000298023224,-0.6671422123908997,0.5446897745132446,0.09961104393005371,32.0,0.0,1.0,0.018480846658349037,32,0.0,49,0,1
19,11001,3,0.20000000298023224,-0.4526859521865845,0.257084459066391,0.05215989053249359,32.0,0.0,1.0,0.013649608008563519,32,0.0,49,0,1
20,00101,2,0.20000000298023224,-1.1831672191619873,1.6369044780731201,0.23701977729797363,32.0,0.0,1.0,0.027965037152171135,32,0.0,49,0,1
21,10101,3,0.20000000298023224,-1.2483718395233154,1.803912878036499,0.24548065662384033,32.0,0.0,1.0,0.028442099690437317,32,0.0,49,0,1
22,01101,3,0.20000000298023224,-0.26990029215812683,0.10123247653245926,0.02838630974292755,32.0,0.0,1.0,0.010331752710044384,32,0.0,49,0,1
23,11101,4,0.4000000059604645,-0.20612883567810059,0.06547033786773682,0.02298124134540558,32.0,0.0,1.0,0.01779288984835148,32,0.0,49,0,1
24,00011,2,0.20000000298023224,-1.2180917263031006,1.7111011743545532,0.22735369205474854,32.0,0.0,1.0,0.027409473434090614,32,0.0,49,0,1
25,10011,3,0.20000000298023224,-1.2447952032089233,1.8212072849273682,0.271692156791687,32.0,0.0,1.0,0.029870029538869858,32,0.0,49,0,1
26,01011,3,0.20000000298023224,-0.4341854751110077,0.24900048971176147,0.060483455657958984,32.0,0.0,1.0,0.014621565118432045,32,0.0,49,0,1
27,11011,4,0.4000000059604645,-0.2448735535144806,0.07105971872806549,0.011096660047769547,32.0,0.0,1.0,0.012669033370912075,32,0.0,49,0,1
28,00111,3,0.20000000298023224,-1.0210466384887695,1.2197266817092896,0.17719042301177979,32.0,0.0,1.0,0.024314645677804947,32,0.0,49,0,1
29,10111,4,0.4000000059604645,-0.9689856171607971,1.2879478931427002,0.3490147590637207,32.0,0.0,1.0,0.06644260883331299,32,0.0,49,0,1
30,01111,4,0.4000000059604645,-0.1341315656900406,0.031983837485313416,0.013992561027407646,32.0,0.0,1.0,0.014103500172495842,32,0.0,49,0,1
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974513,32,0.0,49,0,1
0,00000,0,1.0,-1.6065044403076172,2.993709087371826,0.41285252571105957,256.0,32.0,0.9090909361839294,0.16945183277130127,320,0.0,69,1,2
1,10000,1,0.4000000059604645,-1.5425071716308594,2.8103342056274414,0.43100571632385254,96.0,32.0,0.6666666865348816,0.06984616816043854,64,0.0,69,1,2
2,01000,1,0.4000000059604645,-0.6990648508071899,0.619854211807251,0.13116255402565002,64.0,32.0,0.5,0.03897897154092789,32,0.0,69,1,2
3,11000,2,0.20000000298023224,-0.6278449296951294,0.5417026281356812,0.14751335978507996,64.0,32.0,0.5,0.021138353273272514,32,0.0,69,1,2
