node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-0.873304009437561,0.8957583904266357,0.13309848308563232,32.0,0.0,1.0,0.13636112213134766,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.0071197748184204,1.4233956336975098,0.40910542011260986,32.0,0.0,1.0,0.0959259495139122,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.3688557744026184,0.17785321176052094,0.04179863631725311,32.0,0.0,1.0,0.031342294067144394,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.3573022782802582,0.1565161496400833,0.028851225972175598,32.0,0.0,1.0,0.013604322448372841,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-0.8511587381362915,0.911666214466095,0.18719500303268433,32.0,0.0,1.0,0.06521175056695938,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-0.6969870328903198,0.6669206619262695,0.18112972378730774,32.0,0.0,1.0,0.03258145600557327,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.1925022304058075,0.05702410638332367,0.01996699720621109,32.0,0.0,1.0,0.011485611088573933,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.1572466790676117,0.048302967101335526,0.02357644960284233,32.0,0.0,1.0,0.012394009158015251,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-0.8934201002120972,0.9929451942443848,0.1947457194328308,32.0,0.0,1.0,0.06649397313594818,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-0.7094064950942993,0.6079481840133667,0.10469061136245728,32.0,0.0,1.0,0.025009948760271072,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.22999128699302673,0.07753819227218628,0.024642199277877808,32.0,0.0,1.0,0.012648691423237324,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.21668502688407898,0.06117561459541321,0.014223214238882065,32.0,0.0,1.0,0.009849856607615948,32,0.0,49,0,1
