feature,mean_diff,std_diff,mae,q05,q50,q95
fou_000,0.000820961024146527,0.0471021831035614,0.03537733852863312,-0.06811979413032532,-1.3574957847595215e-05,0.07680381089448929
fou_001,-0.0047788009978830814,0.06718829274177551,0.05096641927957535,-0.11061125993728638,-0.008289150893688202,0.10927608609199524
fou_002,0.003263731487095356,0.07559038698673248,0.056955136358737946,-0.11114951968193054,-0.00019425153732299805,0.1415327489376068
fou_003,-0.008335590362548828,0.08789707720279694,0.06524970382452011,-0.1408672034740448,-0.005856864154338837,0.13085989654064178
fou_004,0.003738223575055599,0.07723281532526016,0.05816759169101715,-0.12565846741199493,0.0070236921310424805,0.1248142197728157
fou_005,-0.004667072091251612,0.05345411226153374,0.03933187946677208,-0.0840856209397316,-0.004628557711839676,0.07810696214437485
fou_006,0.0016128462739288807,0.06699980795383453,0.049295198172330856,-0.09908583015203476,0.0010435134172439575,0.11071087419986725
fou_007,0.010538795031607151,0.07096470892429352,0.05498608574271202,-0.09295585751533508,0.005902454257011414,0.15469393134117126
fou_008,-0.0017550294287502766,0.08042420446872711,0.061021413654088974,-0.1321835219860077,0.0005353689193725586,0.12837541103363037
fou_009,-0.001403026282787323,0.056284110993146896,0.04442501440644264,-0.09311244636774063,0.0008540451526641846,0.08813430368900299
fou_010,-0.0020646261982619762,0.06182194501161575,0.0477643683552742,-0.10670436173677444,-0.004186086356639862,0.10431182384490967
fou_011,-0.0004175320209469646,0.058691199868917465,0.047130290418863297,-0.08549106866121292,-0.00011701881885528564,0.09631475061178207
fou_012,-0.0006100062746554613,0.06442442536354065,0.051079221069812775,-0.10742303729057312,0.0028849318623542786,0.10818497836589813
fou_013,0.0014835179317742586,0.06291521340608597,0.0508083738386631,-0.09690529108047485,-0.00047856569290161133,0.10168050229549408
fou_014,0.0024907607585191727,0.051642198115587234,0.040460020303726196,-0.08805527538061142,0.0021948441863059998,0.08673600852489471
fou_015,-0.0016198534285649657,0.05010353773832321,0.03879940137267113,-0.0799885168671608,0.00041635334491729736,0.07846476882696152
fou_016,-0.004015750717371702,0.05444039776921272,0.04412555694580078,-0.0973796546459198,-0.002816729247570038,0.07791522890329361
fou_017,-0.0009863516315817833,0.059384506195783615,0.04615991562604904,-0.09467460960149765,-0.0008378326892852783,0.0945141464471817
fou_018,-0.0036725644022226334,0.05529601126909256,0.044032711535692215,-0.09094345569610596,-0.003665059804916382,0.08541828393936157
fou_019,-0.00029302985058166087,0.04829501360654831,0.03767384588718414,-0.09146563708782196,0.00100746750831604,0.07512225210666656
fou_020,-0.0030115682166069746,0.044577453285455704,0.03554311394691467,-0.07795754820108414,-0.00039617903530597687,0.06794418394565582
fou_021,0.0010464846855029464,0.04861146956682205,0.03894445300102234,-0.07641629874706268,0.000337161123752594,0.07536111772060394
fou_022,-0.0018159253522753716,0.04717370122671127,0.03678373247385025,-0.08543121814727783,0.0013302229344844818,0.07138292491436005
fou_023,-0.002825354225933552,0.05095789581537247,0.04020651802420616,-0.09134843200445175,-0.0023464132100343704,0.0779515728354454
fou_024,0.0014920936664566398,0.04408618062734604,0.03557232767343521,-0.06621471792459488,-0.0008606240153312683,0.07231886684894562
fou_025,0.00020046830468345433,0.045171696692705154,0.034774523228406906,-0.06962893158197403,-0.0016218088567256927,0.06821165978908539
fou_026,-0.0002853965270332992,0.044033437967300415,0.03478655219078064,-0.08251849561929703,0.0035625770688056946,0.06493853777647018
fou_027,2.7623176720226184e-05,0.046847790479660034,0.03764312341809273,-0.08266610652208328,0.004345070570707321,0.07106024026870728
fou_028,-0.0015544018242508173,0.045965731143951416,0.03562304377555847,-0.08535466343164444,0.0011306814849376678,0.06766612082719803
fou_029,0.0017000321531668305,0.04272094741463661,0.03396269306540489,-0.0718056783080101,0.004994437098503113,0.06616765260696411
fou_030,-0.00384146417491138,0.04164868965744972,0.03346290439367294,-0.06939322501420975,-0.005255583673715591,0.06801716983318329
fou_031,-0.002088890178129077,0.040765538811683655,0.03231973201036453,-0.07178792357444763,-0.0009877197444438934,0.05720054730772972
fou_032,0.0022734447848051786,0.04299540817737579,0.03342060372233391,-0.07590488344430923,0.0036224499344825745,0.06972929835319519
fou_033,1.7958433090825565e-05,0.04089411720633507,0.03238549828529358,-0.07304062694311142,0.003964921459555626,0.06160857528448105
fou_034,-0.0022360295988619328,0.03926153853535652,0.03149477764964104,-0.0678521916270256,-0.004709474742412567,0.06463219970464706
fou_035,0.0009902773890644312,0.039966143667697906,0.0319758765399456,-0.0665741115808487,0.001034403219819069,0.06482534110546112
fou_036,0.0019654890056699514,0.03912279009819031,0.03170159459114075,-0.06157463788986206,0.004746917635202408,0.066091388463974
