epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.057084716856479645,0.0623880997300148,positive_share
49,0,1,fac,216,0.5683107376098633,0.621108889579773,positive_share
49,0,1,kar,64,0.23109635710716248,0.25256606936454773,positive_share
49,0,1,zer,47,0.05046351999044418,0.055151768028736115,positive_share
49,0,1,mor,6,0.008038333617150784,0.008785124868154526,positive_share
69,1,2,fou,76,0.044457655400037766,0.049032993614673615,positive_share
69,1,2,fac,216,0.5532393455505371,0.6101757287979126,positive_share
69,1,2,kar,64,0.187555193901062,0.2068573534488678,positive_share
69,1,2,zer,47,0.10783243179321289,0.11892995238304138,positive_share
69,1,2,mor,6,0.013603946194052696,0.0150039903819561,positive_share
89,2,3,fou,76,0.05016906186938286,0.056471310555934906,positive_share
89,2,3,fac,216,0.5296115875244141,0.596141517162323,positive_share
89,2,3,kar,64,0.17932866513729095,0.20185597240924835,positive_share
89,2,3,zer,47,0.1094452291727066,0.12319376319646835,positive_share
89,2,3,mor,6,0.019844546914100647,0.022337423637509346,positive_share
109,3,4,fou,76,0.04412186145782471,0.052973899990320206,positive_share
109,3,4,fac,216,0.5192254185676575,0.6233960390090942,positive_share
109,3,4,kar,64,0.1666492223739624,0.20008355379104614,positive_share
109,3,4,zer,47,0.09572345018386841,0.11492815613746643,positive_share
109,3,4,mor,6,0.007178179919719696,0.008618316613137722,positive_share
129,4,5,fou,76,0.0375654473900795,0.04641290009021759,positive_share
129,4,5,fac,216,0.5107038617134094,0.6309853196144104,positive_share
129,4,5,kar,64,0.16026923060417175,0.1980160027742386,positive_share
129,4,5,zer,47,0.09389898926019669,0.11601416766643524,positive_share
129,4,5,mor,6,0.006937659345567226,0.0085716238245368,positive_share
169,5,6,fou,76,0.026066651567816734,0.033317435532808304,positive_share
169,5,6,fac,216,0.5158779621124268,0.6593762040138245,positive_share
169,5,6,kar,64,0.15375778079032898,0.19652754068374634,positive_share
169,5,6,zer,47,0.08667026460170746,0.11077874153852463,positive_share
169,5,6,mor,6,-0.0031772195361554623,0.0,positive_share
