feature,mean_diff,std_diff,mae,q05,q50,q95
fou_000,-0.004741979297250509,0.09341219812631607,0.0785241574048996,-0.1437201052904129,-0.004325017333030701,0.15108129382133484
fou_001,-0.024300822988152504,0.19252510368824005,0.16958782076835632,-0.31394338607788086,-0.05661085247993469,0.27186116576194763
fou_002,0.01358390785753727,0.13363489508628845,0.11247171461582184,-0.19558772444725037,0.005402594804763794,0.21942251920700073
fou_003,-0.005583928897976875,0.11482231318950653,0.08856166899204254,-0.18956956267356873,0.004248142242431641,0.15681032836437225
fou_004,-0.005939715541899204,0.16321095824241638,0.13003146648406982,-0.3290467858314514,0.027175173163414,0.2221287488937378
fou_005,-0.0019568251445889473,0.09256834536790848,0.07484938204288483,-0.17517080903053284,0.00895904004573822,0.12531021237373352
fou_006,0.011029141023755074,0.14993508160114288,0.11755010485649109,-0.24372249841690063,0.006396889686584473,0.283732146024704
fou_007,-0.004383667837828398,0.11784426867961884,0.10372710973024368,-0.17954255640506744,-0.011827170848846436,0.18545421957969666
fou_008,-0.005854424089193344,0.12011094391345978,0.09613578021526337,-0.2273935228586197,0.0013841986656188965,0.17824916541576385
fou_009,-0.011058738455176353,0.09534799307584763,0.07625141739845276,-0.20321305096149445,0.00782310962677002,0.11187160760164261
fou_010,0.015633108094334602,0.08539079874753952,0.07296077162027359,-0.13315831124782562,0.022513866424560547,0.1441735476255417
fou_011,0.008355955593287945,0.07952530682086945,0.06573187559843063,-0.12041357159614563,0.004866674542427063,0.1324213743209839
fou_012,0.004545136820524931,0.09994807094335556,0.08348216861486435,-0.1642867624759674,0.00862247496843338,0.15623167157173157
fou_013,-0.0352996289730072,0.12316418439149857,0.09724016487598419,-0.2683994174003601,-0.009119734168052673,0.12263618409633636
fou_014,0.008891474455595016,0.0614430233836174,0.051229916512966156,-0.09538230299949646,0.011754609644412994,0.10285770893096924
fou_015,-0.00011098787217633799,0.06123426929116249,0.05001667141914368,-0.10197548568248749,0.0021274536848068237,0.09663570672273636
fou_016,0.0020424581598490477,0.06567170470952988,0.05278439447283745,-0.11878976225852966,0.0060991570353507996,0.09668911248445511
fou_017,0.002818634733557701,0.08182168751955032,0.06639323383569717,-0.15652616322040558,0.015093717724084854,0.11408255249261856
fou_018,0.00316056702286005,0.061678797006607056,0.04958090931177139,-0.11044923216104507,0.004690270870923996,0.09422896802425385
fou_019,0.019475478678941727,0.052806466817855835,0.04547620192170143,-0.0827353224158287,0.02272961661219597,0.09903886914253235
fou_020,-0.0030111202504485846,0.051845259964466095,0.041879359632730484,-0.0949375331401825,0.0006095468997955322,0.07487986981868744
fou_021,0.014723444357514381,0.053774043917655945,0.04576920345425606,-0.0785997286438942,0.018925905227661133,0.09195292741060257
fou_022,-0.0016680177068337798,0.05958421155810356,0.047319043427705765,-0.1097143366932869,0.0057968683540821075,0.08548517525196075
fou_023,-0.004105327185243368,0.06144610419869423,0.048763178288936615,-0.12277375906705856,0.005883175879716873,0.08085349202156067
fou_024,0.0002147260238416493,0.05062384530901909,0.04107458144426346,-0.0858343243598938,0.0032002516090869904,0.07776325196027756
fou_025,0.003974036779254675,0.05018197372555733,0.038152292370796204,-0.07998889684677124,0.007404781877994537,0.0766569972038269
fou_026,-0.004624669905751944,0.04783187806606293,0.03751935064792633,-0.08950024843215942,-0.00027371570467948914,0.06079506129026413
fou_027,-0.002324905479326844,0.05210299417376518,0.04150359332561493,-0.09724535048007965,0.0009462796151638031,0.07279787957668304
fou_028,0.007794644683599472,0.052952080965042114,0.04292602464556694,-0.0891556441783905,0.016762662678956985,0.0823948010802269
fou_029,-0.005843826569616795,0.046722255647182465,0.03722895309329033,-0.08910881727933884,0.0008353069424629211,0.06425650417804718
fou_030,-0.013228104449808598,0.04461612552404404,0.03724241629242897,-0.08566416800022125,-0.012961171567440033,0.057374946773052216
fou_031,-0.016024308279156685,0.04462439939379692,0.036743637174367905,-0.09467969834804535,-0.013996142894029617,0.05062441900372505
fou_032,0.007495199330151081,0.046371202915906906,0.03657064214348793,-0.0823550596833229,0.013585314154624939,0.06977640837430954
fou_033,0.006399415899068117,0.046208545565605164,0.03813863918185234,-0.08035852015018463,0.013972913846373558,0.06921759992837906
fou_034,0.006077343598008156,0.04121837392449379,0.03346553444862366,-0.0661165714263916,0.0066825151443481445,0.06900934129953384
fou_035,0.005068940110504627,0.04273293539881706,0.034438785165548325,-0.06664860248565674,0.007144290953874588,0.07071227580308914
fou_036,0.0024532817769795656,0.04184447601437569,0.03410467877984047,-0.06779950857162476,0.005247078835964203,0.06460069864988327
fou_037,0.0001088342469302006,0.042481519281864166,0.033154431730508804,-0.07898668944835663,0.007012903690338135,0.05732187256217003
fou_038,-0.002598571591079235,0.044437166303396225,0.03568538650870323,-0.08806795626878738,0.005646577104926109,0.059988755732774734
fou_039,-0.004335660021752119,0.041422829031944275,0.033898185938596725,-0.07680000364780426,-0.003863111138343811,0.060502756386995316
fou_040,0.009163887239992619,0.04041546583175659,0.034003619104623795,-0.05842020362615585,0.013923656195402145,0.06767535954713821
fou_041,0.0018130667740479112,0.036972034722566605,0.029401836916804314,-0.06703607738018036,0.006480995565652847,0.05453091487288475
fou_042,-0.00613144738599658,0.04135775938630104,0.03303290903568268,-0.07928313314914703,-0.0021765194833278656,0.05442751944065094
fou_043,0.007231689058244228,0.03931311517953873,0.03262581303715706,-0.07035961747169495,0.014854036271572113,0.06127045676112175
fou_044,0.011243577115237713,0.04546978697180748,0.038994766771793365,-0.06641340255737305,0.012788765132427216,0.07883761823177338
fou_045,0.003991412930190563,0.03761056438088417,0.030550319701433182,-0.06467877328395844,0.0092384684830904,0.059136953204870224
fou_046,0.009447394870221615,0.0364178903400898,0.031247716397047043,-0.053939338773489,0.012070432305335999,0.06220990791916847
fou_047,0.0036443995777517557,0.03703282028436661,0.029740534722805023,-0.06376495957374573,0.009570399299263954,0.054498471319675446
