epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.03025692328810692,0.023934442549943924,positive_share
49,0,1,fac,216,0.882452666759491,0.6980555653572083,positive_share
49,0,1,kar,64,0.15824571251869202,0.125178724527359,positive_share
49,0,1,zer,47,0.1423230916261673,0.11258328706026077,positive_share
49,0,1,mor,6,0.0508798211812973,0.04024798423051834,positive_share
69,1,2,fou,76,0.06819908320903778,0.051882077008485794,positive_share
69,1,2,fac,216,0.8708909749984741,0.6625255346298218,positive_share
69,1,2,kar,64,0.19340689480304718,0.1471332311630249,positive_share
69,1,2,zer,47,0.12128153443336487,0.09226426482200623,positive_share
69,1,2,mor,6,0.060723304748535156,0.04619492217898369,positive_share
89,2,3,fou,76,0.07307970523834229,0.05187557265162468,positive_share
89,2,3,fac,216,0.9148017168045044,0.649371325969696,positive_share
89,2,3,kar,64,0.2036127746105194,0.1445343792438507,positive_share
89,2,3,zer,47,0.1446666717529297,0.10269153118133545,positive_share
89,2,3,mor,6,0.0725889503955841,0.05152721330523491,positive_share
109,3,4,fou,76,0.06410899013280869,0.042063284665346146,positive_share
109,3,4,fac,216,1.009886384010315,0.6626081466674805,positive_share
109,3,4,kar,64,0.2315673828125,0.15193632245063782,positive_share
109,3,4,zer,47,0.15071234107017517,0.09888560324907303,positive_share
109,3,4,mor,6,0.06783287972211838,0.044506609439849854,positive_share
129,4,5,fou,76,0.11251106858253479,0.06428084522485733,positive_share
129,4,5,fac,216,1.1079915761947632,0.6330278515815735,positive_share
129,4,5,kar,64,0.27423620223999023,0.15667912364006042,positive_share
129,4,5,zer,47,0.16501665115356445,0.09427881240844727,positive_share
129,4,5,mor,6,0.09054923057556152,0.051733408123254776,positive_share
169,5,6,fou,76,0.08483091741800308,0.0470251590013504,positive_share
169,5,6,fac,216,1.1650711297988892,0.645845353603363,positive_share
169,5,6,kar,64,0.29055455327033997,0.1610659807920456,positive_share
169,5,6,zer,47,0.18218252062797546,0.10099103301763535,positive_share
169,5,6,mor,6,0.0813082903623581,0.04507242888212204,positive_share
