feature,mean_diff,std_diff,mae,q05,q50,q95
fou_000,-0.0006609833217225969,0.047459326684474945,0.03603495657444,-0.07158755511045456,-0.0021026432514190674,0.08024429529905319
fou_001,-0.006386321969330311,0.0690579041838646,0.052688125520944595,-0.115939199924469,-0.008756294846534729,0.10498882830142975
fou_002,0.0007702337461523712,0.07495751976966858,0.057027846574783325,-0.105317123234272,-0.003415018320083618,0.14076854288578033
fou_003,-0.007359359413385391,0.08906564861536026,0.06524042040109634,-0.1500428467988968,-0.006283998489379883,0.13346979022026062
fou_004,0.00948245543986559,0.07804757356643677,0.060091618448495865,-0.11479773372411728,0.00854954868555069,0.12486079335212708
fou_005,-0.0017154081724584103,0.05261102318763733,0.03850942477583885,-0.08241068571805954,-0.0013302192091941833,0.07742714881896973
fou_006,0.004977450240403414,0.06590774655342102,0.04872562736272812,-0.10072246193885803,0.00764213502407074,0.12519770860671997
fou_007,0.006670290604233742,0.07214220613241196,0.05557194724678993,-0.09565329551696777,-1.3366341590881348e-05,0.13836748898029327
fou_008,-0.0019464758224785328,0.07916969805955887,0.059922851622104645,-0.12963365018367767,-0.001289278268814087,0.12799067795276642
fou_009,0.0014303817879408598,0.05623398721218109,0.04499687999486923,-0.08683884143829346,0.003210917115211487,0.08719809353351593
fou_010,-0.002759533002972603,0.06224871426820755,0.048467691987752914,-0.10761547088623047,-0.0031269900500774384,0.09990165382623672
fou_011,0.0026853294111788273,0.058530665934085846,0.04705624654889107,-0.08536078035831451,0.00020606070756912231,0.10043986886739731
fou_012,0.002628528978675604,0.06477952748537064,0.051325246691703796,-0.10714519023895264,0.008255574852228165,0.11108484864234924
fou_013,0.003863831050693989,0.06404745578765869,0.05182717368006706,-0.10280521959066391,0.004059698432683945,0.10742290318012238
fou_014,0.0026225936599075794,0.0514233224093914,0.04037480056285858,-0.08457181602716446,0.00425545871257782,0.08531565219163895
fou_015,-0.0018416937673464417,0.04982103407382965,0.038502857089042664,-0.07799199223518372,-0.0009493976831436157,0.07959192991256714
fou_016,-0.0025836301501840353,0.05383725464344025,0.043497323989868164,-0.09369057416915894,-0.0018411241471767426,0.07608269155025482
fou_017,0.0017092068446800113,0.05891713500022888,0.04617764428257942,-0.09407903254032135,0.0019300952553749084,0.09852077066898346
fou_018,-0.002492944011464715,0.05521659180521965,0.04386461153626442,-0.08707326650619507,-0.002873290330171585,0.08383549749851227
