node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.5448267459869385,2.764936923980713,0.3784472942352295,32.0,0.0,1.0,0.17474812269210815,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.479978322982788,2.596468925476074,0.40613317489624023,32.0,0.0,1.0,0.07299654930830002,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.7158415913581848,0.6200372576713562,0.10760807991027832,32.0,0.0,1.0,0.03805952146649361,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.530031681060791,0.37658411264419556,0.09565052390098572,32.0,0.0,1.0,0.018469927832484245,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-1.2516777515411377,1.7581833600997925,0.19148612022399902,32.0,0.0,1.0,0.050436314195394516,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-1.2763285636901855,1.860231637954712,0.23121702671051025,32.0,0.0,1.0,0.028161723166704178,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.5109902024269104,0.3799824118614197,0.11887142062187195,32.0,0.0,1.0,0.020475391298532486,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.36917683482170105,0.17816834151744843,0.04187680780887604,32.0,0.0,1.0,0.012559372000396252,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-1.3198866844177246,1.937900185585022,0.1957993507385254,32.0,0.0,1.0,0.050989989191293716,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-1.3935970067977905,2.2479004859924316,0.30578792095184326,32.0,0.0,1.0,0.03223615884780884,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.48415815830230713,0.277782678604126,0.043373554944992065,32.0,0.0,1.0,0.012764133512973785,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.39616087079048157,0.21469636261463165,0.05775292217731476,32.0,0.0,1.0,0.014574830420315266,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-1.1046000719070435,1.5234206914901733,0.30327939987182617,32.0,0.0,1.0,0.032107774168252945,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-1.057598352432251,1.314787745475769,0.19627344608306885,32.0,0.0,1.0,0.026025237515568733,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.22681111097335815,0.08281686156988144,0.031373582780361176,32.0,0.0,1.0,0.011005286127328873,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.09358279407024384,0.02027139626443386,0.011513656936585903,32.0,0.0,1.0,0.013122274540364742,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-1.3953368663787842,2.3842735290527344,0.43730854988098145,32.0,0.0,1.0,0.07570874691009521,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-1.3940308094024658,2.1565439701080322,0.21322202682495117,32.0,0.0,1.0,0.02708335779607296,32,0.0,49,0,1
