node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.6148393154144287,3.034541606903076,0.4268355369567871,32.0,0.0,1.0,0.18540069460868835,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.509648323059082,2.713437557220459,0.4343996047973633,32.0,0.0,1.0,0.07541096955537796,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.6912580728530884,0.5394186973571777,0.06158098578453064,32.0,0.0,1.0,0.029016608372330666,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.5379988551139832,0.33515465259552,0.04571187496185303,32.0,0.0,1.0,0.013069151900708675,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-1.2276264429092407,1.830599069595337,0.3235323429107666,32.0,0.0,1.0,0.06521716713905334,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-1.1472091674804688,1.6408449411392212,0.32475602626800537,32.0,0.0,1.0,0.03316924348473549,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.5774132013320923,0.4412468671798706,0.10784086585044861,32.0,0.0,1.0,0.01953761838376522,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.31045496463775635,0.13804104924201965,0.04165876656770706,32.0,0.0,1.0,0.012521670199930668,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-1.459573745727539,2.4953927993774414,0.365037202835083,32.0,0.0,1.0,0.06921200454235077,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-1.2332829236984253,1.7279703617095947,0.2069835662841797,32.0,0.0,1.0,0.026682080700993538,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.5201157331466675,0.3494837284088135,0.07896333932876587,32.0,0.0,1.0,0.016862621530890465,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.36079734563827515,0.1921808421611786,0.06200611591339111,32.0,0.0,1.0,0.015056575648486614,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-1.2331454753875732,1.9525480270385742,0.4319002628326416,32.0,0.0,1.0,0.03809829428792,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-1.1461392641067505,1.5070178508758545,0.1933826208114624,32.0,0.0,1.0,0.02582395263016224,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.26447218656539917,0.09754970669746399,0.02760417014360428,32.0,0.0,1.0,0.010378849692642689,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.16065257787704468,0.06089862436056137,0.03508937358856201,32.0,0.0,1.0,0.02214852347970009,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-1.397575855255127,2.2700843811035156,0.3168661594390869,32.0,0.0,1.0,0.06455213576555252,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-1.1965800523757935,1.5809599161148071,0.1491560935974121,32.0,0.0,1.0,0.022801319137215614,32,0.0,49,0,1
18,01001,2,0.20000000298023224,-0.5071359872817993,0.30676865577697754,0.04958173632621765,32.0,0.0,1.0,0.013569648377597332,32,0.0,49,0,1
19,11001,3,0.20000000298023224,-0.4707227051258087,0.26693373918533325,0.04535387456417084,32.0,0.0,1.0,0.013021798804402351,32,0.0,49,0,1
20,00101,2,0.20000000298023224,-1.2160617113113403,1.6031275987625122,0.12432146072387695,32.0,0.0,1.0,0.02090376988053322,32,0.0,49,0,1
21,10101,3,0.20000000298023224,-1.0189380645751953,1.154640793800354,0.11640596389770508,32.0,0.0,1.0,0.020259715616703033,32,0.0,49,0,1
22,01101,3,0.20000000298023224,-0.3387693166732788,0.15681205689907074,0.0420474037528038,32.0,0.0,1.0,0.012575289234519005,32,0.0,49,0,1
23,11101,4,0.4000000059604645,-0.17204159498214722,0.041808899492025375,0.012210588902235031,32.0,0.0,1.0,0.013475574553012848,32,0.0,49,0,1
24,00011,2,0.20000000298023224,-1.2262232303619385,1.7102136611938477,0.20659029483795166,32.0,0.0,1.0,0.026657668873667717,32,0.0,49,0,1
25,10011,3,0.20000000298023224,-1.287933349609375,1.8354222774505615,0.17664992809295654,32.0,0.0,1.0,0.024725696071982384,32,0.0,49,0,1
26,01011,3,0.20000000298023224,-0.3122027516365051,0.11098937690258026,0.013518817722797394,32.0,0.0,1.0,0.007563441526144743,32,0.0,49,0,1
27,11011,4,0.4000000059604645,-0.24366003274917603,0.06865531206130981,0.009285099804401398,32.0,0.0,1.0,0.011878913268446922,32,0.0,49,0,1
28,00111,3,0.20000000298023224,-1.1803580522537231,1.6423125267028809,0.24906742572784424,32.0,0.0,1.0,0.029172196984291077,32,0.0,49,0,1
29,10111,4,0.4000000059604645,-1.049173355102539,1.257690191268921,0.15692543983459473,32.0,0.0,1.0,0.045723821967840195,32,0.0,49,0,1
30,01111,4,0.4000000059604645,-0.13334819674491882,0.03210756555199623,0.0143258236348629,32.0,0.0,1.0,0.014513008296489716,32,0.0,49,0,1
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974513,32,0.0,49,0,1
0,00000,0,1.0,-1.6209049224853516,3.1553027629852295,0.5279700756072998,256.0,32.0,0.875,0.18811973929405212,224,0.0,69,1,2
1,10000,1,0.4000000059604645,-1.4631047248840332,2.5971460342407227,0.4564704895019531,192.0,32.0,0.8333333134651184,0.07059551775455475,160,0.0,69,1,2
2,01000,1,0.4000000059604645,-0.7155395746231079,0.5915783047676086,0.07958143949508667,64.0,32.0,0.5,0.030059007927775383,32,0.0,69,1,2
3,11000,2,0.20000000298023224,-0.5379988551139832,0.33515465259552,0.04571187496185303,32.0,0.0,1.0,0.01201182883232832,0,0.0,69,1,2
4,00100,1,0.4000000059604645,-1.4426336288452148,2.599752426147461,0.5185606479644775,128.0,32.0,0.75,0.07517793029546738,96,0.0,69,1,2
5,10100,2,0.20000000298023224,-1.2090500593185425,1.8215975761413574,0.35979557037353516,96.0,32.0,0.6666666865348816,0.031893905252218246,64,0.0,69,1,2
6,01100,2,0.20000000298023224,-0.5774132013320923,0.4412468671798706,0.10784086585044861,32.0,0.0,1.0,0.01791362091898918,0,0.0,69,1,2
7,11100,3,0.20000000298023224,-0.2932995557785034,0.13418124616146088,0.04815661907196045,96.0,32.0,0.6666666865348816,0.012302459217607975,64,0.0,69,1,2
8,00010,1,0.4000000059604645,-1.4515997171401978,2.54263973236084,0.4354979991912842,224.0,32.0,0.8571428656578064,0.06897793710231781,192,0.0,69,1,2
9,10010,2,0.20000000298023224,-1.3816734552383423,2.2630295753479004,0.3540080785751343,160.0,32.0,0.800000011920929,0.03164442628622055,128,0.0,69,1,2
10,01010,2,0.20000000298023224,-0.5201157331466675,0.3494837284088135,0.07896333932876587,32.0,0.0,1.0,0.015472969971597195,0,0.0,69,1,2
11,11010,3,0.20000000298023224,-0.36079734563827515,0.1921808421611786,0.06200611591339111,32.0,0.0,1.0,0.01382514275610447,0,0.0,69,1,2
12,00110,2,0.20000000298023224,-1.245410680770874,1.8335362672805786,0.28248846530914307,64.0,32.0,0.5,0.02837444469332695,32,0.0,69,1,2
13,10110,3,0.20000000298023224,-1.20575749874115,1.7399441003799438,0.28609299659729004,96.0,32.0,0.6666666865348816,0.02854853868484497,64,0.0,69,1,2
14,01110,3,0.20000000298023224,-0.2756199538707733,0.1188700944185257,0.04290373623371124,96.0,32.0,0.6666666865348816,0.011668233200907707,64,0.0,69,1,2
15,11110,4,0.4000000059604645,-0.11893634498119354,0.03458718582987785,0.02044133096933365,128.0,32.0,0.75,0.015727516263723373,96,0.0,69,1,2
16,00001,1,0.4000000059604645,-1.4129432439804077,2.2974653244018555,0.30105674266815186,64.0,32.0,0.5,0.05751960352063179,32,0.0,69,1,2
17,10001,2,0.20000000298023224,-1.369905710220337,2.19223952293396,0.31559789180755615,64.0,32.0,0.5,0.0299342330545187,32,0.0,69,1,2
18,01001,2,0.20000000298023224,-0.5071359872817993,0.30676865577697754,0.04958173632621765,32.0,0.0,1.0,0.01246847864240408,0,0.0,69,1,2
19,11001,3,0.20000000298023224,-0.48337116837501526,0.2888592779636383,0.055211588740348816,64.0,32.0,0.5,0.013102080672979355,32,0.0,69,1,2
20,00101,2,0.20000000298023224,-1.2513930797576904,1.779543399810791,0.21355879306793213,64.0,32.0,0.5,0.02480146288871765,32,0.0,69,1,2
21,10101,3,0.20000000298023224,-1.1331615447998047,1.5278847217559814,0.243829607963562,96.0,32.0,0.6666666865348816,0.026432447135448456,64,0.0,69,1,2
22,01101,3,0.20000000298023224,-0.3387693166732788,0.15681205689907074,0.0420474037528038,32.0,0.0,1.0,0.011561230756342411,0,0.0,69,1,2
23,11101,4,0.4000000059604645,-0.19490715861320496,0.060143180191516876,0.02215437963604927,64.0,32.0,0.5,0.01633220724761486,32,0.0,69,1,2
