epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.12710672616958618,0.07871168851852417,positive_share
49,0,1,fac,216,0.9364917278289795,0.5799287557601929,positive_share
49,0,1,kar,64,0.24828140437602997,0.15374991297721863,positive_share
49,0,1,zer,47,0.14474758505821228,0.08963590860366821,positive_share
49,0,1,mor,6,0.15821188688278198,0.0979737639427185,positive_share
69,1,2,fou,76,0.13382060825824738,0.08255919814109802,positive_share
69,1,2,fac,216,0.948432445526123,0.5851252675056458,positive_share
69,1,2,kar,64,0.21411073207855225,0.13209332525730133,positive_share
69,1,2,zer,47,0.17086663842201233,0.10541435331106186,positive_share
69,1,2,mor,6,0.15367452800273895,0.09480786323547363,positive_share
89,2,3,fou,76,0.11751341819763184,0.0707855224609375,positive_share
89,2,3,fac,216,1.0075218677520752,0.6068920493125916,positive_share
89,2,3,kar,64,0.206985741853714,0.12468016892671585,positive_share
89,2,3,zer,47,0.19206145405769348,0.11569035798311234,positive_share
89,2,3,mor,6,0.13605117797851562,0.08195194602012634,positive_share
109,3,4,fou,76,0.1314108669757843,0.07541260123252869,positive_share
109,3,4,fac,216,1.0735656023025513,0.6160858273506165,positive_share
109,3,4,kar,64,0.23260089755058289,0.1334824115037918,positive_share
109,3,4,zer,47,0.1835576593875885,0.10533802211284637,positive_share
109,3,4,mor,6,0.12142344564199448,0.06968113034963608,positive_share
129,4,5,fou,76,0.15328259766101837,0.08616384118795395,positive_share
129,4,5,fac,216,1.0979162454605103,0.6171651482582092,positive_share
129,4,5,kar,64,0.22993628680706024,0.12925271689891815,positive_share
129,4,5,zer,47,0.19457638263702393,0.10937607288360596,positive_share
129,4,5,mor,6,0.10325523465871811,0.0580422542989254,positive_share
169,5,6,fou,76,0.15508931875228882,0.08437725901603699,positive_share
169,5,6,fac,216,1.1421540975570679,0.6213956475257874,positive_share
169,5,6,kar,64,0.22270746529102325,0.12116531282663345,positive_share
169,5,6,zer,47,0.2030557543039322,0.11047367751598358,positive_share
169,5,6,mor,6,0.11503978818655014,0.06258807331323624,positive_share
