node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-0.8293820023536682,0.813323438167572,0.12544894218444824,32.0,0.0,1.0,0.13203716278076172,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-0.8883504867553711,0.9780175685882568,0.188850998878479,32.0,0.0,1.0,0.06531031429767609,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.4508584141731262,0.2650470435619354,0.06177373230457306,32.0,0.0,1.0,0.03778094798326492,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.26787883043289185,0.09447719156742096,0.022718124091625214,32.0,0.0,1.0,0.012152628041803837,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-0.9117159843444824,1.0799071788787842,0.24868112802505493,32.0,0.0,1.0,0.07479763776063919,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-0.6783590316772461,0.6319500207901001,0.17177903652191162,32.0,0.0,1.0,0.03166733682155609,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.19430488348007202,0.05619229003787041,0.018437903374433517,32.0,0.0,1.0,0.011047239415347576,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.14448508620262146,0.03444581478834152,0.013569874688982964,32.0,0.0,1.0,0.009619438089430332,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-0.8280946016311646,0.8792614340782166,0.19352078437805176,32.0,0.0,1.0,0.06610057502985,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-0.6821483373641968,0.5572002530097961,0.0918738842010498,32.0,0.0,1.0,0.023427819833159447,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.29312074184417725,0.10211335122585297,0.016193583607673645,32.0,0.0,1.0,0.010415913537144661,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.21913614869117737,0.06362692266702652,0.015606269240379333,32.0,0.0,1.0,0.01024358719587326,32,0.0,49,0,1
12,00110,2,0.20000000298023224,-0.5341441631317139,0.48092982172966003,0.19561982154846191,32.0,0.0,1.0,0.03372633829712868,32,0.0,49,0,1
13,10110,3,0.20000000298023224,-0.49531620740890503,0.34719735383987427,0.1018592119216919,32.0,0.0,1.0,0.024615177884697914,32,0.0,49,0,1
14,01110,3,0.20000000298023224,-0.05500258505344391,0.010026251897215843,0.007000967860221863,32.0,0.0,1.0,0.0071911318227648735,32,0.0,49,0,1
15,11110,4,0.4000000059604645,-0.010391863994300365,0.0008775313617661595,0.0007695405511185527,32.0,0.0,1.0,0.005105223041027784,32,0.0,49,0,1
16,00001,1,0.4000000059604645,-0.9854071140289307,1.3860268592834473,0.41499966382980347,32.0,0.0,1.0,0.09633336216211319,32,0.0,49,0,1
17,10001,2,0.20000000298023224,-0.8601078987121582,0.9987049698829651,0.258919358253479,32.0,0.0,1.0,0.038650717586278915,32,0.0,49,0,1
18,01001,2,0.20000000298023224,-0.35717594623565674,0.16572627425193787,0.03815162181854248,32.0,0.0,1.0,0.015452650375664234,32,0.0,49,0,1
19,11001,3,0.20000000298023224,-0.34167468547821045,0.15387597680091858,0.03713438659906387,32.0,0.0,1.0,0.015258673578500748,32,0.0,49,0,1
20,00101,2,0.20000000298023224,-0.7413244247436523,0.69279944896698,0.14323753118515015,32.0,0.0,1.0,0.029003959149122238,32,0.0,49,0,1
21,10101,3,0.20000000298023224,-0.6392632126808167,0.6372130513191223,0.2285555899143219,32.0,0.0,1.0,0.03637422248721123,32,0.0,49,0,1
