epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.0540885329246521,0.03942058980464935,positive_share
49,0,1,fac,216,0.9157766103744507,0.6674326658248901,positive_share
49,0,1,kar,64,0.20027658343315125,0.14596477150917053,positive_share
49,0,1,zer,47,0.14306503534317017,0.10426808893680573,positive_share
49,0,1,mor,6,0.058881692588329315,0.04291392117738724,positive_share
69,1,2,fou,76,0.08988827466964722,0.06259769201278687,positive_share
69,1,2,fac,216,0.9230382442474365,0.642798662185669,positive_share
69,1,2,kar,64,0.19796553254127502,0.13786208629608154,positive_share
69,1,2,zer,47,0.1516621857881546,0.10561669617891312,positive_share
69,1,2,mor,6,0.0734136775135994,0.051124874502420425,positive_share
89,2,3,fou,76,0.10043150931596756,0.06789788603782654,positive_share
89,2,3,fac,216,0.9518033266067505,0.6434776782989502,positive_share
89,2,3,kar,64,0.20952877402305603,0.1416543573141098,positive_share
89,2,3,zer,47,0.15590235590934753,0.10539959371089935,positive_share
89,2,3,mor,6,0.06148909404873848,0.04157041385769844,positive_share
109,3,4,fou,76,0.11246902495622635,0.06767180562019348,positive_share
109,3,4,fac,216,1.0541110038757324,0.634251058101654,positive_share
109,3,4,kar,64,0.24908575415611267,0.14987312257289886,positive_share
109,3,4,zer,47,0.1693798303604126,0.10191463679075241,positive_share
109,3,4,mor,6,0.07693183422088623,0.04628933593630791,positive_share
129,4,5,fou,76,0.11524397134780884,0.06268713623285294,positive_share
129,4,5,fac,216,1.1359338760375977,0.6178929805755615,positive_share
129,4,5,kar,64,0.28428980708122253,0.15463988482952118,positive_share
129,4,5,zer,47,0.20148713886737823,0.10959924012422562,positive_share
129,4,5,mor,6,0.10144421458244324,0.055180735886096954,positive_share
169,5,6,fou,76,0.12582294642925262,0.06531475484371185,positive_share
169,5,6,fac,216,1.1981171369552612,0.6219431757926941,positive_share
169,5,6,kar,64,0.29214003682136536,0.15165004134178162,positive_share
169,5,6,zer,47,0.21246212720870972,0.11028919368982315,positive_share
169,5,6,mor,6,0.09786710143089294,0.05080286040902138,positive_share
