epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.10311904549598694,0.059688154608011246,positive_share
49,0,1,fac,216,1.007083773612976,0.582927942276001,positive_share
49,0,1,kar,64,0.25335854291915894,0.14665092527866364,positive_share
49,0,1,zer,47,0.21699847280979156,0.12560471892356873,positive_share
49,0,1,mor,6,0.14707016944885254,0.08512827754020691,positive_share
69,1,2,fou,76,0.08579900115728378,0.05421411618590355,positive_share
69,1,2,fac,216,0.9617398381233215,0.6076979041099548,positive_share
69,1,2,kar,64,0.24052710831165314,0.15198270976543427,positive_share
69,1,2,zer,47,0.20032139122486115,0.12657777965068817,positive_share
69,1,2,mor,6,0.09420779347419739,0.059527408331632614,positive_share
89,2,3,fou,76,0.10304953902959824,0.06333652138710022,positive_share
89,2,3,fac,216,0.9770482182502747,0.6005154252052307,positive_share
89,2,3,kar,64,0.24954907596111298,0.15337836742401123,positive_share
89,2,3,zer,47,0.2090669572353363,0.1284971684217453,positive_share
89,2,3,mor,6,0.08830228447914124,0.05427253246307373,positive_share
109,3,4,fou,76,0.10228796303272247,0.06056317314505577,positive_share
109,3,4,fac,216,1.0186659097671509,0.6031368374824524,positive_share
109,3,4,kar,64,0.276513010263443,0.16371920704841614,positive_share
109,3,4,zer,47,0.21538613736629486,0.1275269091129303,positive_share
109,3,4,mor,6,0.07609361410140991,0.045053888112306595,positive_share
129,4,5,fou,76,0.10404929518699646,0.059258025139570236,positive_share
129,4,5,fac,216,1.0497310161590576,0.5978415012359619,positive_share
129,4,5,kar,64,0.27518439292907715,0.15672266483306885,positive_share
129,4,5,zer,47,0.23805969953536987,0.13557946681976318,positive_share
129,4,5,mor,6,0.08884401619434357,0.05059833452105522,positive_share
169,5,6,fou,76,0.11425689607858658,0.061964016407728195,positive_share
169,5,6,fac,216,1.1103142499923706,0.6021477580070496,positive_share
169,5,6,kar,64,0.2780061364173889,0.15076881647109985,positive_share
169,5,6,zer,47,0.25902867317199707,0.14047692716121674,positive_share
169,5,6,mor,6,0.08231738209724426,0.04464251920580864,positive_share
