predictor,feature,feature_group,feature_mse
global_mean,fou_000,fou,1.0538034439086914
global_mean,fou_001,fou,0.9444764852523804
global_mean,fou_002,fou,1.017406940460205
global_mean,fou_003,fou,0.9748320579528809
global_mean,fou_004,fou,0.9546710252761841
global_mean,fou_005,fou,1.0950331687927246
global_mean,fou_006,fou,1.1016114950180054
global_mean,fou_007,fou,1.0358773469924927
global_mean,fou_008,fou,0.9372828602790833
global_mean,fou_009,fou,0.9873790144920349
global_mean,fou_010,fou,0.9789641499519348
global_mean,fou_011,fou,1.0256518125534058
global_mean,fou_012,fou,1.005274772644043
global_mean,fou_013,fou,1.0542073249816895
global_mean,fou_014,fou,0.8740482926368713
global_mean,fou_015,fou,1.0066839456558228
global_mean,fou_016,fou,1.032245397567749
global_mean,fou_017,fou,1.1923413276672363
global_mean,fou_018,fou,0.9432411789894104
global_mean,fou_019,fou,0.8595842719078064
global_mean,fou_020,fou,0.9215151071548462
global_mean,fou_021,fou,0.9378374218940735
global_mean,fou_022,fou,1.1872460842132568
global_mean,fou_023,fou,1.0648980140686035
global_mean,fou_024,fou,0.9500989317893982
global_mean,fou_025,fou,0.915639340877533
global_mean,fou_026,fou,0.8224689960479736
global_mean,fou_027,fou,0.8901392221450806
global_mean,fou_028,fou,1.0253244638442993
global_mean,fou_029,fou,1.0389432907104492
global_mean,fou_030,fou,0.8859987854957581
global_mean,fou_031,fou,0.9439181685447693
global_mean,fou_032,fou,1.0428377389907837
global_mean,fou_033,fou,1.08558988571167
global_mean,fou_034,fou,0.9000115394592285
global_mean,fou_035,fou,0.8882983326911926
global_mean,fou_036,fou,1.041372299194336
global_mean,fou_037,fou,0.9418318271636963
global_mean,fou_038,fou,0.8911705017089844
global_mean,fou_039,fou,0.8669803142547607
global_mean,fou_040,fou,0.8322175741195679
global_mean,fou_041,fou,1.0428575277328491
global_mean,fou_042,fou,0.9807248711585999
global_mean,fou_043,fou,0.9596035480499268
global_mean,fou_044,fou,1.0576194524765015
global_mean,fou_045,fou,0.9138324856758118
global_mean,fou_046,fou,0.9313085079193115
global_mean,fou_047,fou,0.921475350856781
global_mean,fou_048,fou,0.9261027574539185
global_mean,fou_049,fou,1.003677487373352
global_mean,fou_050,fou,0.9873117208480835
global_mean,fou_051,fou,1.0905261039733887
global_mean,fou_052,fou,0.9296689629554749
global_mean,fou_053,fou,1.096094012260437
global_mean,fou_054,fou,1.0096603631973267
global_mean,fou_055,fou,1.08808171749115
global_mean,fou_056,fou,1.0051026344299316
global_mean,fou_057,fou,0.943926215171814
global_mean,fou_058,fou,1.259670615196228
global_mean,fou_059,fou,1.022934079170227
global_mean,fou_060,fou,1.0416103601455688
global_mean,fou_061,fou,1.1719166040420532
global_mean,fou_062,fou,1.0245145559310913
global_mean,fou_063,fou,1.0538926124572754
global_mean,fou_064,fou,1.1478995084762573
global_mean,fou_065,fou,0.9953315258026123
global_mean,fou_066,fou,1.0670974254608154
global_mean,fou_067,fou,0.9451346397399902
global_mean,fou_068,fou,1.0595548152923584
global_mean,fou_069,fou,0.9769446849822998
global_mean,fou_070,fou,0.965328574180603
global_mean,fou_071,fou,1.032667636871338
global_mean,fou_072,fou,1.0014007091522217
global_mean,fou_073,fou,1.075210452079773
global_mean,fou_074,fou,0.998572587966919
global_mean,fou_075,fou,1.0157320499420166
global_mean,fac_000,fac,0.9180927276611328
global_mean,fac_001,fac,0.96402907371521
global_mean,fac_002,fac,0.8639104962348938
global_mean,fac_003,fac,1.0649218559265137
global_mean,fac_004,fac,0.8969465494155884
global_mean,fac_005,fac,0.9211984872817993
global_mean,fac_006,fac,0.9104936718940735
global_mean,fac_007,fac,0.9893580079078674
global_mean,fac_008,fac,0.9504683017730713
global_mean,fac_009,fac,0.9438349008560181
global_mean,fac_010,fac,0.9981984496116638
global_mean,fac_011,fac,0.9453219771385193
global_mean,fac_012,fac,0.9448668956756592
global_mean,fac_013,fac,0.9602137804031372
global_mean,fac_014,fac,1.027503252029419
global_mean,fac_015,fac,1.0822865962982178
global_mean,fac_016,fac,0.9359209537506104
global_mean,fac_017,fac,0.9116845726966858
global_mean,fac_018,fac,1.0425117015838623
global_mean,fac_019,fac,1.0044571161270142
global_mean,fac_020,fac,1.0069859027862549
global_mean,fac_021,fac,1.0098826885223389
global_mean,fac_022,fac,1.0218266248703003
global_mean,fac_023,fac,1.0029253959655762
global_mean,fac_024,fac,1.0768194198608398
global_mean,fac_025,fac,0.988374650478363
